@400000005e7c603704e04ada #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7c60372ed4d04a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7c60ec002c964a #d,-,18,2734,2357,1169,138,0,200531,12432,2734,2360,1170,2734,2357,1162,98,100,0,500,2778;
@400000005e7c60ee00364ec8 #d,-,18,2734,2358,1167,139,0,200614,12438,2734,2360,1169,2734,2357,1167,98,100,0,500,2762;
@400000005e7c60ee003adea9 #d,-,18,2733,2359,1168,140,0,200476,12429,2734,2360,1169,2733,2357,1166,99,100,0,500,2760;
@400000005e7c60f00044cd2c #d,-,18,2732,2358,1374,141,0,200519,12432,2733,2359,1381,2732,2356,1167,98,100,0,500,2762;
@400000005e7c60f0004f35af #d,-,18,2959,2360,1181,141,0,200533,12433,2959,2360,1374,2732,2355,1181,99,100,0,500,2983;
@400000005e7c60f20057203e #d,-,18,2753,2359,1160,142,0,200492,12430,2959,2360,1181,2753,2358,1142,98,100,0,500,2799;
@400000005e7c60f2005a7821 #d,-,18,2919,2358,1175,143,0,200556,12434,2919,2360,1431,2753,2357,1158,100,100,0,500,2919;
@400000005e7c60f40060f005 #d,-,18,2794,2358,1160,144,0,200647,12440,2919,2359,1204,2794,2356,1156,96,100,0,500,2881;
@400000005e7c60f4006414af #d,-,18,2713,2358,1422,144,0,200604,12437,2794,2358,1459,2713,2356,1160,98,100,0,500,2753;
@400000005e7c60f6006cc779 #d,-,18,2994,2358,1191,145,0,200608,12437,2994,2359,1422,2713,2356,1168,98,100,0,500,3031;
@400000005e7c60f60071a595 #d,-,18,2771,2357,1162,146,0,200573,12435,2994,2360,1191,2771,2357,1150,98,100,0,500,2812;
@400000005e7c60f8007a771c #d,-,18,2979,2356,1199,147,0,200649,12440,2979,2359,1463,2771,2355,1162,99,100,0,500,3007;
@400000005e7c60f8007fabd5 #d,-,18,2758,2357,1160,148,0,200622,12438,2979,2357,1205,2758,2355,1149,97,100,0,500,2815;
@400000005e7c60fa008bc923 #d,-,18,2756,2356,1213,148,0,200791,12449,2758,2357,1458,2756,2353,1156,100,100,0,500,2756;
@400000005e7c60fa0093763a #d,-,18,2958,2356,1183,149,0,200787,12448,2958,2357,1218,2756,2354,1170,97,100,0,500,3025;
@400000005e7c60fc00a39f2a #d,-,18,2746,2353,1359,150,0,200672,12441,2958,2357,1359,2746,2353,1147,98,100,0,500,2790;
@400000005e7c60fc00aef170 #d,-,18,2968,2354,1204,151,0,200721,12444,2968,2356,1452,2746,2351,1171,98,100,0,500,3006;
@400000005e7c60fe00be3f83 #d,-,18,2755,2356,1160,152,0,200690,12442,2968,2356,1204,2755,2354,1150,98,100,0,500,2794;
@400000005e7c60fe00c89389 #d,-,18,2841,2356,1173,152,0,200754,12446,2841,2356,1462,2755,2353,1157,100,100,0,500,2841;
@400000005e7c610000d1cf3c #d,-,18,2846,2355,1181,153,0,200747,12446,2846,2356,1205,2841,2353,1172,95,100,0,500,2970;
@400000005e7c610000d66a4a #d,-,18,2735,2357,1437,154,0,200773,12447,2846,2358,1437,2735,2353,1153,98,100,0,500,2778;
@400000005e7c610200e0d687 #d,-,18,2973,2358,1197,155,0,200792,12449,2973,2359,1450,2735,2357,1165,98,100,0,500,3013;
@400000005e7c610200e69b9b #d,-,18,2758,2357,1159,155,0,200761,12447,2973,2359,1197,2758,2356,1157,98,100,0,500,2792;
@400000005e7c610400f3ed2d #d,-,18,2751,2357,1158,156,0,200724,12444,2758,2359,1159,2751,2357,1150,100,100,0,500,2751;
@400000005e7c610400fefd54 #d,-,18,2745,2359,1228,157,0,200713,12444,2751,2359,1230,2745,2356,1157,100,100,0,500,2745;
@400000005e7c6106010aefcb #d,-,18,2750,2358,1165,158,0,200688,12442,2750,2359,1228,2745,2356,1153,97,100,0,500,2821;
@400000005e7c6106011534ea #d,-,18,2747,2356,1168,158,0,200664,12441,2750,2359,1172,2747,2356,1165,99,100,0,500,2753;
@400000005e7c610801251f74 #d,-,18,2744,2358,1168,159,0,200639,12439,2747,2359,1169,2744,2356,1167,99,100,0,500,2762;
@400000005e7c61080130b794 #d,-,18,2743,2359,1169,160,0,200615,12438,2744,2360,1169,2743,2357,1167,99,100,0,500,2762;
@400000005e7c610a013d6271 #d,-,18,2741,2358,1191,161,0,200595,12436,2743,2359,1191,2741,2356,1168,99,100,0,500,2762;
@400000005e7c610a0148b871 #d,-,18,2743,2356,1170,161,1,200578,12435,2743,2358,1200,2741,2356,1161,98,100,0,500,2794;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
