@400000005e4b95a11a4dc3a0 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4b95a2089f561c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4b965c17b93a2e #d,-,18,3717,2361,1643,164,1,229711,14242,3717,2363,1651,3717,2361,1597,95,99,0,500,3884;
@400000005e4b965e17c97204 #d,-,18,3715,2363,1619,165,1,229786,14246,3717,2363,1651,3715,2361,1600,95,99,0,500,3886;
@400000005e4b965e17d2e4a9 #d,-,18,3714,2362,1642,166,1,229976,14258,3715,2363,1656,3714,2361,1579,95,99,0,500,3874;
@400000005e4b966017e2886a #d,-,18,3714,2362,1629,167,1,230174,14270,3714,2363,1652,3714,2361,1606,95,99,0,500,3898;
@400000005e4b966017ebcf4a #d,-,18,3714,2362,1639,168,1,230366,14282,3714,2362,1644,3714,2360,1602,95,99,0,500,3886;
@400000005e4b966217faf285 #d,-,18,3715,2361,1643,169,1,230567,14295,3715,2362,1662,3714,2360,1616,95,99,0,500,3903;
@400000005e4b96621804b9eb #d,-,18,3718,2364,1603,170,1,230747,14306,3718,2364,1673,3715,2361,1553,95,99,0,500,3901;
@400000005e4b96641814eef5 #d,-,18,3718,2361,1658,171,1,230948,14318,3718,2364,1687,3718,2360,1577,95,99,0,500,3910;
@400000005e4b9664181e5491 #d,-,18,3719,2363,1635,172,1,231260,14338,3719,2364,1662,3718,2361,1612,95,99,0,500,3893;
@400000005e4b9666182d7b86 #d,-,18,3723,2361,1656,173,1,231455,14350,3723,2363,1658,3719,2361,1616,94,99,0,500,3931;
@400000005e4b96661836e983 #d,-,18,3721,2362,1619,174,1,231518,14354,3723,2362,1671,3721,2360,1582,95,99,0,500,3886;
@400000005e4b966818463796 #d,-,18,3726,2361,1649,175,1,231713,14366,3726,2363,1661,3721,2361,1619,94,99,0,500,3936;
@400000005e4b9668184f9204 #d,-,18,3667,2363,1588,176,1,231877,14376,3726,2363,1697,3667,2360,1508,94,99,0,500,3863;
@400000005e4b966a185fce82 #d,-,18,3763,2361,1649,177,1,232061,14387,3763,2363,1675,3667,2361,1582,96,99,0,500,3919;
@400000005e4b966a1869500e #d,-,18,3758,2362,1631,178,1,232243,14399,3763,2362,1652,3758,2360,1622,96,99,0,500,3908;
@400000005e4b966c18797543 #d,-,18,3755,2361,1666,180,1,232420,14410,3758,2363,1666,3755,2361,1595,96,99,0,500,3908;
@400000005e4b966c1882cfb2 #d,-,18,3701,2362,1644,181,1,232590,14420,3755,2362,1709,3701,2359,1505,94,99,0,500,3908;
@400000005e4b966e1892c568 #d,-,18,3704,2360,1635,182,1,232761,14431,3704,2363,1676,3701,2360,1590,95,99,0,500,3877;
@400000005e4b966e189c2838 #d,-,18,3710,2362,1655,183,1,233058,14449,3710,2362,1673,3704,2360,1596,94,99,0,500,3936;
@400000005e4b967018abc840 #d,-,18,3713,2361,1629,184,1,233114,14453,3713,2363,1666,3710,2361,1613,95,99,0,500,3903;
@400000005e4b967018b506bd #d,-,18,3718,2361,1651,185,1,233295,14464,3718,2362,1663,3713,2361,1624,94,99,0,500,3936;
@400000005e4b967218c41a24 #d,-,18,3721,2363,1608,186,1,233460,14474,3721,2364,1661,3718,2361,1593,95,99,0,500,3912;
@400000005e4b967218cdcb2f #d,-,18,3724,2364,1663,187,1,233637,14485,3724,2364,1674,3721,2361,1595,94,99,0,500,3927;
@400000005e4b967418ddd82e #d,-,18,3724,2362,1621,188,1,233800,14495,3724,2364,1674,3724,2362,1594,95,99,0,500,3901;
@400000005e4b967418e73afe #d,-,18,3729,2363,1671,189,1,233974,14506,3729,2363,1674,3724,2361,1601,94,99,0,500,3936;
@400000005e4b967618f730b4 #d,-,18,3731,2362,1620,190,1,234141,14516,3731,2363,1674,3729,2362,1619,95,99,0,500,3919;
@400000005e4b96761900cd42 #d,-,18,3736,2362,1665,191,1,234314,14527,3736,2363,1670,3731,2362,1616,94,99,0,500,3948;
@400000005e4b967819109821 #d,-,18,3736,2364,1588,192,1,234582,14544,3736,2364,1674,3736,2362,1588,95,99,0,500,3917;
@400000005e4b9678191a492c #d,-,18,3740,2361,1665,193,1,234754,14554,3740,2364,1680,3736,2361,1588,94,99,0,500,3938;
@400000005e4b967a192a429c #d,-,18,3741,2364,1604,194,1,234912,14564,3741,2364,1666,3740,2361,1604,95,99,0,500,3924;
@400000005e4b967a1933b099 #d,-,18,3745,2362,1678,195,1,234969,14568,3745,2364,1679,3741,2361,1603,95,99,0,500,3941;
@400000005e4b967c1943c5fa #d,-,18,3745,2364,1632,196,1,235132,14578,3745,2364,1678,3745,2361,1621,95,99,0,500,3929;
@400000005e4b967c194d18f4 #d,-,18,3750,2362,1652,197,1,235296,14588,3750,2364,1672,3745,2362,1632,94,99,0,500,3955;
@400000005e4b967e195cd3fe #d,-,18,3748,2363,1618,198,1,235451,14598,3750,2364,1670,3748,2362,1613,95,99,0,500,3927;
@400000005e4b967e19666cd2 #d,-,18,3752,2363,1661,199,1,235614,14608,3752,2365,1673,3748,2363,1613,95,99,0,500,3938;
@400000005e4b9680197618f6 #d,-,18,3752,2362,1613,200,1,235767,14617,3752,2363,1670,3752,2361,1613,95,99,0,500,3936;
@400000005e4b9680197f6faa #d,-,18,3754,2364,1674,201,1,235922,14627,3754,2364,1676,3752,2362,1601,95,99,0,500,3936;
@400000005e4b9682198e8e3e #d,-,18,3753,2363,1618,202,1,236072,14636,3754,2365,1677,3753,2362,1615,95,99,0,500,3934;
@400000005e4b968219979b5f #d,-,18,3755,2364,1667,203,1,236331,14652,3755,2364,1675,3753,2362,1602,95,99,0,500,3931;
@400000005e4b968419a6e110 #d,-,18,3755,2361,1634,204,1,236485,14662,3755,2364,1673,3755,2361,1628,95,99,0,500,3938;
@400000005e4b968419b07d9e #d,-,18,3758,2362,1674,205,1,236637,14671,3758,2363,1684,3755,2360,1610,95,99,0,500,3948;
@400000005e4b968619bfcbb1 #d,-,18,3758,2361,1637,206,1,236684,14674,3758,2363,1678,3758,2361,1622,95,99,0,500,3946;
@400000005e4b968619c94210 #d,-,18,3759,2362,1673,207,1,236826,14683,3759,2363,1696,3758,2361,1577,95,99,0,500,3927;
@400000005e4b968819d952c8 #d,-,18,3758,2361,1650,209,1,236977,14692,3759,2362,1688,3758,2360,1601,95,99,0,500,3946;
@400000005e4b968819e29234 #d,-,18,3761,2362,1661,210,1,237121,14701,3761,2363,1680,3758,2361,1616,95,99,0,500,3938;
@400000005e4b968a19f1c545 #d,-,18,3761,2362,1658,211,1,237271,14710,3761,2363,1681,3761,2361,1618,95,99,0,500,3950;
@400000005e4b968a19fb2727 #d,-,18,3763,2365,1648,212,1,237409,14719,3763,2365,1682,3761,2362,1604,95,99,0,500,3936;
@400000005e4b968c1a0aac2c #d,-,18,3763,2364,1659,213,1,237556,14728,3763,2365,1680,3763,2363,1603,95,99,0,500,3957;
@400000005e4b968c1a1402e1 #d,-,18,3764,2362,1646,214,1,237796,14743,3764,2366,1673,3763,2362,1618,95,99,0,500,3931;
@400000005e4b968e1a24d72d #d,-,18,3765,2366,1659,215,1,237942,14752,3765,2366,1678,3764,2362,1621,95,99,0,500,3957;
@400000005e4b968e1a2e2de2 #d,-,18,3765,2363,1646,216,1,237975,14754,3765,2366,1684,3765,2363,1604,95,99,0,500,3929;
@400000005e4b96901a3d2dba #d,-,18,3766,2365,1664,217,1,238117,14763,3766,2366,1686,3765,2363,1598,95,99,0,500,3962;
@400000005e4b96901a45e43e #d,-,18,3766,2365,1639,218,1,238250,14771,3766,2366,1678,3766,2364,1618,95,99,0,500,3929;
@400000005e4b96921a55af1d #d,-,18,3767,2366,1659,219,1,238392,14780,3767,2366,1674,3766,2364,1632,95,99,0,500,3960;
@400000005e4b96921a5eee89 #d,-,18,3768,2364,1644,220,1,238526,14788,3768,2366,1673,3767,2364,1624,95,99,0,500,3941;
@400000005e4b96941a6e0963 #d,-,18,3769,2365,1655,221,1,238661,14796,3769,2367,1660,3768,2364,1641,95,99,0,500,3955;
@400000005e4b96941a77cd0f #d,-,18,3769,2367,1651,222,1,238795,14805,3769,2367,1657,3769,2365,1640,95,99,0,500,3948;
@400000005e4b96961a875e30 #d,-,18,3770,2364,1656,223,1,239024,14819,3770,2368,1662,3769,2364,1619,95,99,0,500,3955;
@400000005e4b96961a90d3a0 #d,-,18,3768,2368,1634,224,1,239050,14821,3770,2368,1657,3768,2364,1624,95,99,0,500,3927;
@400000005e4b96981aa0fc8f #d,-,18,3767,2365,1663,225,1,239182,14829,3768,2368,1670,3767,2365,1625,95,99,0,500,3941;
@400000005e4b96981aaa56fe #d,-,18,3769,2366,1638,226,1,239312,14837,3769,2366,1666,3767,2364,1638,95,99,0,500,3953;
@400000005e4b969a1ab99182 #d,-,18,3769,2365,1659,227,1,239440,14845,3769,2366,1660,3769,2364,1630,95,99,0,500,3950;
@400000005e4b969a1ac31a81 #d,-,18,3767,2366,1637,228,1,239559,14852,3769,2367,1665,3767,2365,1614,95,99,0,500,3924;
@400000005e4b969c1ad314df #d,-,18,3768,2365,1661,229,1,239687,14860,3768,2366,1664,3767,2364,1627,95,99,0,500,3950;
@400000005e4b969c1adc66ec #d,-,18,3766,2367,1637,230,1,239807,14868,3768,2367,1665,3766,2364,1621,95,99,0,500,3929;
@400000005e4b969e1aec033a #d,-,18,3767,2365,1661,232,1,239932,14875,3767,2367,1667,3766,2365,1631,95,99,0,500,3955;
@400000005e4b969e1af5465f #d,-,18,3766,2367,1629,233,1,240051,14883,3767,2367,1666,3766,2364,1622,95,99,0,500,3934;
@400000005e4b96a01b055f7a #d,-,18,3768,2365,1662,234,1,240176,14890,3768,2367,1671,3766,2365,1626,95,99,0,500,3955;
@400000005e4b96a01b0ec9bd #d,-,18,3767,2366,1632,235,1,240389,14904,3768,2367,1668,3767,2364,1627,95,99,0,500,3938;
@400000005e4b96a21b1e1416 #d,-,18,3768,2366,1665,236,1,240511,14911,3768,2367,1670,3767,2365,1623,95,99,0,500,3955;
@400000005e4b96a21b278d40 #d,-,18,3767,2368,1633,237,1,240534,14913,3768,2368,1666,3767,2365,1630,95,99,0,500,3941;
@400000005e4b96a41b36c7c4 #d,-,18,3770,2368,1668,238,1,240655,14920,3770,2370,1668,3767,2368,1621,95,99,0,500,3955;
@400000005e4b96a41b4026db #d,-,18,3768,2369,1629,239,1,240770,14927,3770,2370,1669,3768,2368,1625,95,99,0,500,3938;
@400000005e4b96a61b4f518a #d,-,18,3770,2367,1667,240,1,240888,14935,3770,2369,1667,3768,2367,1628,95,99,0,500,3955;
@400000005e4b96a61b58b36b #d,-,18,3769,2369,1627,241,1,241003,14942,3770,2369,1667,3769,2366,1627,95,99,0,500,3946;
@400000005e4b96a81b684846 #d,-,18,3771,2368,1661,242,1,241118,14949,3771,2369,1662,3769,2367,1627,95,99,0,500,3953;
@400000005e4b96a81b718b6c #d,-,18,3770,2369,1641,243,1,241325,14962,3771,2369,1662,3770,2367,1629,95,99,0,500,3943;
@400000005e4b96aa1b811f58 #d,-,18,3772,2367,1657,244,1,241348,14963,3772,2369,1660,3770,2366,1641,95,99,0,500,3957;
@400000005e4b96aa1b8af2d9 #d,-,18,3773,2369,1630,245,1,241461,14970,3773,2369,1660,3772,2366,1630,95,99,0,500,3955;
@400000005e4b96ac1b9b26f5 #d,-,18,3773,2366,1666,246,1,241573,14977,3773,2369,1670,3773,2366,1621,95,99,0,500,3953;
@400000005e4b96ac1ba495e0 #d,-,18,3772,2369,1645,247,1,241684,14984,3773,2369,1669,3772,2366,1625,95,99,0,500,3943;
@400000005e4b96ae1bb450ea #d,-,18,3773,2367,1658,248,1,241796,14991,3773,2369,1661,3772,2366,1641,95,99,0,500,3957;
@400000005e4b96ae1bbdb774 #d,-,18,3773,2369,1644,249,1,241905,14998,3773,2369,1670,3773,2367,1628,95,99,0,500,3948;
@400000005e4b96b01bcd8253 #d,-,18,3774,2366,1666,250,1,242013,15004,3774,2370,1666,3773,2366,1625,95,99,0,500,3960;
@400000005e4b96b01bd7598d #d,-,18,3773,2367,1643,251,1,242122,15011,3774,2368,1670,3773,2366,1626,95,99,0,500,3943;
@400000005e4b96b21be705b0 #d,-,18,3775,2369,1658,252,1,242231,15018,3775,2369,1660,3773,2367,1638,95,99,0,500,3957;
@400000005e4b96b21bf05b76 #d,-,18,3774,2368,1641,254,1,242336,15024,3775,2369,1667,3774,2367,1624,95,99,0,500,3946;
@400000005e4b96b41bffb95f #d,-,18,3775,2369,1659,255,1,242532,15037,3775,2370,1659,3774,2368,1640,95,99,0,500,3957;
@400000005e4b96b41c08ddc8 #d,-,18,3775,2369,1522,256,1,242626,15042,3775,2369,1660,3775,2366,1522,95,99,0,500,3955;
@400000005e4b96b61c181fc0 #d,-,18,3142,2368,1192,256,1,242401,15028,3775,2371,1522,3142,2368,1057,90,99,0,500,3469;
@400000005e4b96b61c21b4db #d,-,18,2591,2370,1181,257,1,242107,15010,3142,2371,1194,2591,2368,1173,90,99,0,500,2860;
@400000005e4b96b81c319348 #d,-,18,2590,2369,1186,258,1,241902,14997,2591,2370,1187,2590,2368,1179,90,99,0,500,2848;
@400000005e4b96b81c3ad66e #d,-,18,2589,2370,1181,258,1,241697,14985,2590,2370,1186,2589,2369,1178,91,99,0,500,2843;
@400000005e4b96ba1c49cde4 #d,-,18,2587,2371,1177,259,1,241492,14972,2589,2371,1183,2587,2368,1175,91,99,0,500,2841;
@400000005e4b96ba1c52f608 #d,-,18,2585,2371,1179,260,1,241289,14959,2587,2371,1183,2585,2369,1175,91,99,0,500,2839;
@400000005e4b96bc1c628e9c #d,-,18,2583,2369,1170,261,1,241169,14952,2585,2372,1180,2583,2369,1167,91,99,0,500,2834;
@400000005e4b96bc1c6be0a8 #d,-,18,2577,2372,1154,261,1,240866,14933,2583,2372,1171,2577,2369,1147,91,99,0,500,2806;
@400000005e4b96be1c7b8558 #d,-,18,2503,2372,1150,262,1,240648,14920,2577,2372,1155,2503,2370,1145,90,99,0,500,2779;
@400000005e4b96be1c84c01c #d,-,18,2502,2371,1150,263,1,240432,14906,2503,2373,1155,2502,2371,1146,90,99,0,500,2770;
@400000005e4b96c01c94776d #d,-,18,2501,2373,1147,263,1,240215,14893,2502,2373,1150,2501,2371,1142,90,99,0,500,2768;
@400000005e4b96c01c9e2c31 #d,-,18,2499,2371,1146,264,1,239998,14879,2501,2373,1150,2499,2371,1141,90,99,0,500,2761;
@400000005e4b96c21cad470b #d,-,18,2498,2371,1151,265,1,239785,14866,2499,2373,1151,2498,2371,1144,90,99,0,500,2765;
@400000005e4b96c21cb6964c #d,-,18,2497,2372,1147,265,1,239656,14858,2498,2373,1152,2497,2371,1144,90,99,0,500,2765;
@400000005e4b96c41cc5ef8c #d,-,18,2496,2369,1142,266,1,239360,14840,2497,2373,1154,2496,2369,1138,90,99,0,500,2765;
@400000005e4b96c41ccf2785 #d,-,18,2493,2369,1145,267,1,239230,14832,2496,2372,1145,2493,2369,1136,90,99,0,500,2751;
@400000005e4b96c61cde07b3 #d,-,18,2491,2370,1143,268,1,238937,14814,2493,2370,1147,2491,2368,1138,90,99,0,500,2751;
@400000005e4b96c61ce77969 #d,-,18,2490,2369,1147,268,1,238728,14801,2491,2371,1147,2490,2369,1141,90,99,0,500,2753;
@400000005e4b96c81cf79ae5 #d,-,18,2489,2371,1143,269,1,238521,14788,2490,2371,1148,2489,2369,1141,90,99,0,500,2753;
@400000005e4b96c81d00e57e #d,-,18,2488,2369,1147,270,1,238314,14775,2489,2371,1147,2488,2368,1140,90,99,0,500,2756;
@400000005e4b96ca1d10db35 #d,-,18,2486,2368,1142,270,1,238110,14762,2488,2370,1148,2486,2368,1139,90,99,0,500,2753;
@400000005e4b96ca1d1a16e7 #d,-,18,2486,2370,1140,271,1,237905,14750,2486,2370,1146,2486,2368,1137,90,99,0,500,2751;
@400000005e4b96cc1d299fa6 #d,-,18,2483,2368,1144,272,1,237700,14737,2486,2370,1144,2483,2367,1137,90,99,0,500,2744;
@400000005e4b96cc1d334850 #d,-,18,2482,2369,1138,272,1,237497,14724,2483,2369,1145,2482,2367,1137,90,99,0,500,2746;
@400000005e4b96ce1d432215 #d,-,18,2481,2368,1140,273,1,237295,14712,2482,2369,1144,2481,2367,1135,90,99,0,500,2744;
@400000005e4b96ce1d4c78ca #d,-,18,2479,2368,1138,274,1,237095,14699,2481,2369,1143,2479,2367,1136,90,99,0,500,2744;
@400000005e4b96d01d5c8e2a #d,-,18,2478,2367,1143,274,1,236896,14687,2479,2369,1144,2478,2367,1138,90,99,0,500,2744;
@400000005e4b96d01d65c17b #d,-,18,2476,2369,1141,275,1,236697,14675,2478,2369,1143,2476,2367,1138,90,99,0,500,2744;
@400000005e4b96d21d75ac04 #d,-,18,2475,2366,1140,276,1,236500,14663,2476,2369,1145,2475,2365,1138,90,99,0,500,2744;
@400000005e4b96d21d7f02b9 #d,-,18,2474,2367,1137,276,1,236303,14650,2475,2367,1143,2474,2365,1132,90,99,0,500,2742;
@400000005e4b96d41d8ebdc3 #d,-,18,2472,2365,1130,277,1,236106,14638,2474,2367,1138,2472,2365,1130,90,99,0,500,2732;
@400000005e4b96d41d97fd2f #d,-,18,2470,2365,1138,278,1,235910,14626,2472,2366,1138,2470,2365,1130,90,99,0,500,2727;
@400000005e4b96d61da70cdc #d,-,18,2468,2366,1135,278,1,235792,14619,2470,2367,1139,2468,2365,1133,90,99,0,500,2730;
@400000005e4b96d61db08aae #d,-,18,2467,2364,1138,279,1,235600,14607,2468,2366,1141,2467,2363,1134,90,99,0,500,2732;
@400000005e4b96d81dc01ae0 #d,-,18,2466,2367,1136,280,1,235331,14590,2467,2367,1140,2466,2363,1132,90,99,0,500,2732;
@400000005e4b96d81dc96933 #d,-,18,2464,2367,1137,281,1,235140,14578,2466,2367,1140,2464,2366,1134,90,99,0,500,2732;
@400000005e4b96da1dd95003 #d,-,18,2464,2365,1140,281,1,234952,14567,2464,2367,1141,2464,2365,1134,90,99,0,500,2734;
@400000005e4b96da1de29e55 #d,-,18,2463,2367,1139,282,1,234765,14555,2464,2367,1141,2463,2365,1135,90,99,0,500,2734;
@400000005e4b96dc1df1832b #d,-,18,2463,2366,1140,283,1,234579,14543,2463,2367,1142,2463,2364,1136,89,99,0,500,2737;
@400000005e4b96dc1dfb3702 #d,-,18,2463,2366,1138,283,1,234394,14532,2463,2366,1142,2463,2365,1134,89,99,0,500,2739;
@400000005e4b96de1e0adbb1 #d,-,18,2463,2366,1141,284,1,234212,14521,2463,2366,1147,2463,2365,1133,90,99,0,500,2734;
@400000005e4b96de1e14414d #d,-,18,2527,2362,1529,285,1,234188,14519,2527,2366,1630,2463,2362,1138,91,99,0,500,2763;
@400000005e4b96e01e240c2c #d,-,18,3545,2362,1588,286,1,234270,14524,3545,2363,1687,2527,2361,1471,96,99,0,500,3666;
@400000005e4b96e01e2da146 #d,-,18,3735,2364,1695,287,1,234366,14530,3735,2364,1695,3545,2361,1500,95,99,0,500,3908;
@400000005e4b96e21e3cad39 #d,-,18,3617,2364,1616,288,1,234459,14536,3735,2365,1697,3617,2363,1493,94,99,0,500,3832;
@400000005e4b96e21e46327f #d,-,18,3711,2363,1621,289,1,234550,14542,3711,2364,1653,3617,2363,1572,96,99,0,500,3858;
@400000005e4b96e41e55a03c #d,-,18,3709,2365,1652,290,1,234649,14548,3711,2365,1681,3709,2362,1527,95,99,0,500,3889;
@400000005e4b96e41e5f21c8 #d,-,18,3613,2364,1583,291,1,234733,14553,3709,2365,1698,3613,2364,1487,95,99,0,500,3799;
@400000005e4b96e61e6e5c4c #d,-,18,3741,2363,1643,292,1,234836,14559,3741,2364,1654,3613,2362,1583,95,99,0,500,3910;
@400000005e4b96e61e77aa9f #d,-,18,3633,2363,1595,293,1,234997,14569,3741,2365,1706,3633,2362,1476,94,99,0,500,3848;
@400000005e4b96e81e86e8dd #d,-,18,3753,2365,1639,294,1,235094,14575,3753,2365,1662,3633,2362,1582,96,99,0,500,3893;
@400000005e4b96e81e904f66 #d,-,18,3701,2364,1632,295,1,235122,14577,3753,2365,1658,3701,2363,1593,95,99,0,500,3891;
@400000005e4b96ea1e9febb4 #d,-,18,3705,2366,1638,296,1,235220,14583,3705,2366,1654,3701,2364,1608,95,99,0,500,3898;
@400000005e4b96ea1ea94269 #d,-,18,3705,2363,1640,297,1,235315,14589,3705,2366,1688,3705,2362,1533,94,99,0,500,3905;
@400000005e4b96ec1eb839df #d,-,18,3704,2365,1616,298,1,235406,14595,3705,2367,1672,3704,2363,1558,96,99,0,500,3858;
@400000005e4b96ec1ec1dece #d,-,18,3708,2367,1645,299,1,235510,14601,3708,2367,1660,3704,2365,1605,94,99,0,500,3919;
@400000005e4b96ee1ed15b72 #d,-,18,3710,2366,1493,300,1,235591,14606,3710,2368,1661,3708,2365,1489,95,99,0,500,3896;
@400000005e4b96ee1edac96f #d,-,18,3709,2366,1694,301,1,235759,14617,3710,2367,1700,3709,2364,1493,95,99,0,500,3884;
@400000005e4b96f01eea6977 #d,-,18,3651,2366,1618,302,1,235780,14618,3709,2366,1694,3651,2363,1535,94,99,0,500,3853;
@400000005e4b96f01ef3bc72 #d,-,18,3741,2365,1650,303,1,235943,14628,3741,2367,1692,3651,2364,1546,96,99,0,500,3889;
@400000005e4b96f21f03a6fb #d,-,18,3739,2365,1649,304,1,235969,14630,3741,2366,1679,3739,2364,1556,95,99,0,500,3924;
@400000005e4b96f21f0d0169 #d,-,18,3734,2365,1611,305,1,236058,14635,3739,2365,1677,3734,2364,1566,96,99,0,500,3867;
@400000005e4b96f41f1cd002 #d,-,18,3736,2365,1686,306,1,236153,14641,3736,2367,1695,3734,2363,1526,95,99,0,500,3929;
@400000005e4b96f41f265547 #d,-,18,3732,2366,1606,307,1,236246,14647,3736,2366,1686,3732,2363,1606,96,99,0,500,3879;
@400000005e4b96f61f35eddc #d,-,18,3733,2364,1653,308,1,236342,14653,3733,2366,1654,3732,2363,1606,95,99,0,500,3917;
@400000005e4b96f61f3f298e #d,-,18,3733,2363,1626,309,1,236437,14659,3733,2365,1653,3733,2363,1619,95,99,0,500,3915;
@400000005e4b96f81f4eb9c1 #d,-,18,3736,2366,1657,310,1,236602,14669,3736,2367,1660,3733,2363,1605,95,99,0,500,3929;
@400000005e4b96f81f5890fb #d,-,18,3735,2366,1615,311,1,236627,14670,3736,2367,1660,3735,2365,1610,95,99,0,500,3905;
@400000005e4b96fa1f68adcf #d,-,18,3739,2364,1695,312,1,236719,14676,3739,2367,1695,3735,2364,1537,94,99,0,500,3936;
@400000005e4b96fa1f721459 #d,-,18,3734,2363,1619,313,1,236813,14682,3739,2365,1699,3734,2363,1587,95,99,0,500,3893;
@400000005e4b96fc1f823d48 #d,-,18,3736,2364,1657,314,1,236902,14687,3736,2365,1671,3734,2362,1570,95,99,0,500,3908;
@400000005e4b96fc1f8b8427 #d,-,18,3737,2363,1646,316,1,236998,14693,3737,2364,1672,3736,2361,1625,95,99,0,500,3931;
@400000005e4b96fe1f9af59e #d,-,18,3739,2366,1638,317,1,237083,14699,3739,2367,1665,3737,2363,1558,95,99,0,500,3917;
@400000005e4b96fe1fa44b64 #d,-,18,3737,2365,1640,318,1,237178,14705,3739,2366,1688,3737,2364,1605,95,99,0,500,3917;
@400000005e4b97001fb439a7 #d,-,18,3738,2365,1639,319,1,237267,14710,3738,2367,1654,3737,2365,1618,95,99,0,500,3908;
@400000005e4b97001fbd8ca2 #d,-,18,3738,2367,1651,320,1,237359,14716,3738,2367,1666,3738,2364,1603,95,99,0,500,3927;
@400000005e4b97021fce0b40 #d,-,18,3740,2366,1627,321,1,237516,14726,3740,2367,1670,3738,2366,1602,95,99,0,500,3912;
@400000005e4b97021fd765ae #d,-,18,3743,2367,1664,322,1,237545,14727,3743,2368,1682,3740,2365,1594,94,99,0,500,3950;
@400000005e4b97041fe71945 #d,-,18,3744,2366,1637,323,2,237636,14733,3744,2368,1669,3743,2366,1611,95,99,0,500,3919;
@400000005e4b97041ff0aaa6 #d,-,18,3748,2367,1655,324,2,237733,14739,3748,2368,1672,3744,2365,1637,94,99,0,500,3957;
@400000005e4b970620001c1c #d,-,18,3752,2366,1637,325,2,237826,14745,3752,2367,1659,3748,2366,1634,94,99,0,500,3953;
@400000005e4b970620096e29 #d,-,18,3755,2365,1657,326,2,237923,14751,3755,2368,1665,3752,2365,1637,94,99,0,500,3953;
@400000005e4b97082018b882 #d,-,18,3758,2367,1650,327,2,238016,14757,3758,2367,1660,3755,2365,1647,95,99,0,500,3950;
@400000005e4b970820224629 #d,-,18,3761,2364,1656,328,2,238177,14766,3761,2367,1661,3758,2364,1646,94,99,0,500,3960;
@400000005e4b970a20323826 #d,-,18,3763,2366,1652,329,2,238203,14768,3763,2367,1659,3761,2364,1646,95,99,0,500,3955;
@400000005e4b970a203ba9dd #d,-,18,3765,2364,1657,330,2,238296,14774,3765,2366,1661,3763,2364,1646,95,99,0,500,3957;
@400000005e4b970c204be1b3 #d,-,18,3766,2365,1655,331,2,238385,14779,3766,2367,1667,3765,2364,1629,95,99,0,500,3943;
@400000005e4b970c20554483 #d,-,18,3767,2366,1653,332,2,238477,14785,3767,2366,1670,3766,2365,1627,95,99,0,500,3957;
@400000005e4b970e20646f32 #d,-,18,3769,2365,1656,333,2,238567,14791,3769,2367,1661,3767,2365,1646,95,99,0,500,3948;
@400000005e4b970e206e2f23 #d,-,18,3770,2366,1654,334,2,238657,14796,3770,2367,1659,3769,2365,1647,95,99,0,500,3955;
@400000005e4b9710207d90c5 #d,-,18,3770,2366,1649,335,2,238742,14802,3770,2368,1668,3770,2365,1619,95,99,0,500,3943;
@400000005e4b97102086f395 #d,-,18,3769,2366,1654,336,2,238897,14811,3770,2366,1671,3769,2363,1627,95,99,0,500,3953;
@400000005e4b97122096f921 #d,-,18,3771,2367,1653,337,2,238920,14813,3771,2367,1659,3769,2365,1643,95,99,0,500,3948;
@400000005e4b971220a0379e #d,-,18,3772,2367,1653,339,2,239010,14818,3772,2368,1661,3771,2366,1648,95,99,0,501,3955;
@400000005e4b971420af9940 #d,-,18,3772,2367,1655,340,2,239097,14824,3772,2368,1656,3772,2366,1647,95,99,0,501,3955;
@400000005e4b971420b93a76 #d,-,18,3773,2366,1659,341,2,239184,14829,3773,2368,1668,3772,2365,1628,95,99,0,501,3955;
@400000005e4b971620c8da7e #d,-,18,3773,2368,1656,342,2,239334,14838,3773,2368,1669,3773,2365,1618,95,99,0,501,3941;
@400000005e4b971620d244c1 #d,-,18,3773,2368,1657,343,2,239421,14844,3773,2368,1661,3773,2365,1645,95,99,0,501,3957;
@400000005e4b971820e28c6c #d,-,18,3774,2367,1656,344,2,239441,14845,3774,2368,1665,3773,2366,1631,95,99,0,501,3946;
@400000005e4b971820ebea94 #d,-,18,3773,2367,1654,345,2,239526,14850,3774,2367,1665,3773,2365,1630,95,99,0,501,3957;
@400000005e4b971a20faac06 #d,-,18,3774,2367,1656,346,2,239608,14855,3774,2367,1670,3773,2366,1624,95,99,0,501,3941;
@400000005e4b971a21046bf7 #d,-,18,3773,2367,1655,347,2,239757,14864,3774,2367,1671,3773,2365,1624,95,99,0,501,3953;
@400000005e4b971c211427f0 #d,-,18,3774,2367,1660,348,2,239841,14870,3774,2367,1664,3773,2364,1644,95,99,0,501,3953;
@400000005e4b971c211d95ed #d,-,18,3774,2370,1652,349,2,239861,14871,3774,2370,1667,3774,2365,1628,95,99,0,501,3955;
@400000005e4b971e212d1a04 #d,-,18,3775,2369,1657,350,2,239944,14876,3775,2370,1659,3774,2367,1644,95,99,0,501,3950;
@400000005e4b971e2136658c #d,-,18,3776,2369,1655,351,2,240028,14881,3776,2369,1661,3775,2366,1645,95,99,0,501,3957;
