@400000005e56c4c82302d486 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e56c4c9116687ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e56c583216a32a6 #d,-,18,3680,2380,1549,179,1,251649,15602,3680,2383,1568,3678,2380,1542,98,100,0,500,3721;
@400000005e56c5832175d7d0 #d,-,18,3679,2382,1548,180,1,251712,15606,3680,2382,1550,3679,2380,1548,99,100,0,500,3694;
@400000005e56c5852186f1f5 #d,-,18,3678,2380,1549,181,1,251910,15618,3679,2383,1550,3678,2380,1547,99,100,0,500,3694;
@400000005e56c58521919c99 #d,-,18,3676,2380,1599,182,1,251854,15615,3678,2383,1604,3676,2380,1531,99,100,0,500,3689;
@400000005e56c58721a2d757 #d,-,18,3765,2380,1411,183,1,251883,15616,3765,2382,1599,3676,2380,1411,99,100,0,500,3780;
@400000005e56c58721ad949b #d,-,18,3377,2381,1449,184,1,251839,15614,3765,2382,1462,3377,2380,1399,98,100,0,500,3433;
@400000005e56c58921befa30 #d,-,18,3432,2382,1488,185,1,251825,15613,3432,2382,1498,3377,2380,1440,99,100,0,500,3456;
@400000005e56c58921c9f30f #d,-,18,3438,2381,1496,186,1,251813,15612,3438,2382,1500,3432,2380,1446,98,100,0,500,3506;
@400000005e56c58b21d96bf9 #d,-,18,3495,2381,1417,187,1,251788,15610,3495,2383,1496,3438,2380,1417,99,100,0,500,3518;
@400000005e56c58b21e260e3 #d,-,18,3390,2382,1454,188,1,251874,15616,3495,2382,1455,3390,2379,1414,99,100,0,500,3422;
@400000005e56c58d21f03b5d #d,-,18,3391,2380,1420,189,1,251824,15613,3391,2382,1454,3390,2380,1417,98,100,0,500,3427;
@400000005e56c58d21fb0103 #d,-,18,3230,2381,1559,190,1,251643,15601,3391,2382,1629,3230,2380,1257,98,100,0,500,3292;
@400000005e56c58f220bddb1 #d,-,18,3289,2383,1175,190,1,251410,15587,3289,2383,1559,3230,2380,1164,97,100,0,500,3360;
@400000005e56c58f2216418c #d,-,18,2789,2382,1181,191,1,251150,15571,3289,2384,1185,2789,2382,1173,98,100,0,500,2819;
@400000005e56c5912226e38e #d,-,18,2788,2381,1211,192,1,250896,15555,2789,2383,1211,2788,2381,1173,98,100,0,500,2817;
@400000005e56c5912231476a #d,-,18,2792,2381,1180,193,1,250644,15539,2792,2383,1213,2788,2380,1175,97,100,0,500,2853;
@400000005e56c59322423033 #d,-,18,2790,2383,1179,194,1,250514,15531,2792,2383,1180,2790,2380,1179,99,100,0,500,2815;
@400000005e56c593224c940f #d,-,18,2790,2383,1179,194,1,250139,15508,2790,2383,1183,2790,2381,1178,99,100,0,500,2817;
@400000005e56c595225c62a7 #d,-,18,2789,2383,1179,195,1,249889,15493,2790,2383,1181,2789,2381,1178,99,100,0,500,2817;
@400000005e56c5952267c109 #d,-,18,2788,2382,1196,196,1,249645,15478,2789,2383,1196,2788,2381,1179,98,100,0,500,2817;
@400000005e56c5972278919c #d,-,18,2791,2381,1182,197,1,249407,15463,2791,2383,1209,2788,2381,1172,98,100,0,500,2846;
@400000005e56c59722830dae #d,-,18,2790,2381,1179,197,1,249285,15455,2791,2383,1183,2790,2381,1178,99,100,0,500,2813;
@400000005e56c5992293369e #d,-,18,2789,2380,1179,198,1,248924,15433,2790,2383,1182,2789,2380,1177,99,100,0,500,2813;
@400000005e56c599229da1ed #d,-,18,2787,2381,1179,199,1,248685,15418,2789,2382,1180,2787,2380,1178,99,100,0,500,2815;
@400000005e56c59b22ae7727 #d,-,18,2787,2382,1179,200,1,248450,15403,2787,2382,1182,2787,2380,1176,99,100,0,500,2813;
@400000005e56c59b22b8fe67 #d,-,18,2788,2381,1176,200,1,248336,15396,2788,2382,1197,2787,2379,1167,98,100,0,500,2831;
@400000005e56c59d22c90b65 #d,-,18,2785,2381,1174,201,1,247982,15374,2788,2382,1179,2785,2379,1174,99,100,0,500,2801;
@400000005e56c59d22d4527f #d,-,18,2783,2381,1175,202,1,247749,15360,2785,2381,1176,2783,2379,1172,99,100,0,500,2799;
@400000005e56c59f22e430ed #d,-,18,2781,2381,1176,203,1,247517,15346,2783,2381,1176,2781,2379,1173,99,100,0,500,2803;
@400000005e56c59f22ef8e61 #d,-,18,2780,2381,1167,203,1,247402,15338,2781,2382,1176,2780,2380,1167,99,100,0,500,2803;
@400000005e56c5a123006755 #d,-,18,2780,2381,1169,204,1,247178,15325,2780,2381,1196,2780,2379,1166,98,100,0,500,2812;
@400000005e56c5a1230adebf #d,-,18,2777,2380,1168,205,1,246835,15303,2780,2381,1173,2777,2379,1168,99,100,0,500,2799;
@400000005e56c5a3231bcb42 #d,-,18,2775,2378,1171,206,1,246609,15289,2777,2380,1175,2775,2376,1168,99,100,0,500,2789;
@400000005e56c5a323262f1e #d,-,18,2773,2378,1171,207,1,246385,15275,2775,2378,1172,2773,2376,1170,99,100,0,500,2792;
@400000005e56c5a523370812 #d,-,18,2771,2376,1167,207,1,246162,15262,2773,2378,1173,2771,2375,1167,99,100,0,500,2792;
@400000005e56c5a523415c19 #d,-,18,2770,2374,1161,208,1,246056,15255,2771,2378,1193,2770,2374,1160,99,100,0,500,2796;
@400000005e56c5a723590ebb #d,-,18,2768,2376,1167,209,1,245723,15234,2770,2376,1173,2768,2374,1161,99,100,0,500,2794;
@400000005e56c5a7236ad8e6 #d,-,18,2765,2375,1169,210,1,245614,15228,2768,2376,1169,2765,2374,1166,99,100,0,500,2780;
@400000005e56c5a9237ce9d9 #d,-,18,2764,2373,1478,210,1,245394,15214,2765,2375,1487,2764,2372,1168,99,100,0,500,2783;
@400000005e56c5a92387b06d #d,-,18,3374,2368,1655,211,1,245460,15218,3374,2373,1677,2764,2368,1348,100,100,0,500,3374;
@400000005e56c5ab23988c2c #d,-,18,3917,2369,1653,213,1,245621,15228,3917,2369,1686,3374,2367,1636,100,100,0,500,3917;
@400000005e56c5ab23a346a5 #d,-,18,3917,2371,1648,214,1,245771,15237,3917,2372,1653,3917,2368,1646,99,100,0,500,3944;
@400000005e56c5ad23b40762 #d,-,18,3914,2371,1651,215,1,245921,15247,3917,2372,1651,3914,2370,1647,99,100,0,500,3915;
@400000005e56c5ad23bea6d9 #d,-,18,3912,2372,1648,216,1,246068,15256,3914,2374,1651,3912,2371,1647,99,100,0,500,3919;
@400000005e56c5af23cf7edf #d,-,18,3910,2371,1649,217,1,246323,15272,3912,2374,1650,3910,2371,1646,99,100,0,500,3917;
@400000005e56c5af23da0264 #d,-,18,3909,2371,1662,218,1,246480,15281,3910,2373,1681,3909,2370,1648,99,100,0,500,3922;
@400000005e56c5b123e9dd18 #d,-,18,3912,2372,1648,219,1,246518,15284,3912,2373,1662,3909,2371,1648,98,100,0,500,3952;
@400000005e56c5b123f500ce #d,-,18,3910,2371,1652,220,1,246662,15293,3912,2373,1653,3910,2371,1647,99,100,0,500,3919;
@400000005e56c5b32405cda7 #d,-,18,3909,2373,1655,221,1,246806,15301,3910,2373,1655,3909,2371,1650,99,100,0,500,3922;
@400000005e56c5b324108731 #d,-,18,3908,2371,1650,222,1,247054,15317,3909,2373,1656,3908,2371,1649,99,100,0,500,3926;
@400000005e56c5b52421407b #d,-,18,3908,2371,1677,223,1,247101,15320,3908,2373,1685,3908,2371,1650,99,100,0,501,3922;
@400000005e56c5b5242c19af #d,-,18,3912,2372,1655,224,1,247243,15329,3912,2372,1677,3908,2371,1652,98,100,0,501,3963;
@400000005e56c5b7243ca469 #d,-,18,3911,2370,1658,226,1,247384,15337,3912,2373,1658,3911,2370,1654,99,100,0,501,3929;
@400000005e56c5b724478510 #d,-,18,3911,2372,1666,227,1,247526,15346,3911,2373,1666,3911,2369,1653,99,100,0,500,3931;
@400000005e56c5b924587907 #d,-,18,3913,2372,1657,228,1,247668,15355,3913,2374,1667,3911,2371,1654,99,100,0,500,3944;
@400000005e56c5b9246308a8 #d,-,18,3913,2371,1687,229,1,247816,15364,3913,2374,1689,3913,2371,1655,99,100,0,500,3935;
@400000005e56c5bb2472faa5 #d,-,18,3917,2372,1667,230,1,247955,15373,3917,2373,1687,3913,2371,1651,98,100,0,500,3967;
@400000005e56c5bb247e19b2 #d,-,18,3919,2371,1655,231,1,248198,15388,3919,2373,1669,3917,2371,1655,99,100,0,500,3951;
@400000005e56c5bd248ef660 #d,-,18,3919,2372,1664,232,1,248234,15390,3919,2374,1664,3919,2370,1655,99,100,0,500,3940;
@400000005e56c5bd24998602 #d,-,18,3920,2372,1659,233,1,248372,15399,3920,2374,1664,3919,2372,1659,99,100,0,500,3951;
@400000005e56c5bf24aa7550 #d,-,18,3921,2372,1704,234,1,248517,15408,3921,2373,1704,3920,2371,1659,99,100,0,500,3945;
@400000005e56c5bf24b4fc8f #d,-,18,3973,2372,1664,235,1,248658,15416,3973,2374,1708,3921,2371,1657,99,100,0,500,3993;
@400000005e56c5c124c5d1ca #d,-,18,3967,2374,1664,236,1,248895,15431,3973,2374,1666,3967,2372,1662,100,100,0,500,3967;
@400000005e56c5c124d07c6d #d,-,18,3964,2373,1665,238,1,249032,15439,3967,2374,1666,3964,2371,1663,100,100,0,500,3964;
@400000005e56c5c324e18b66 #d,-,18,3960,2374,1666,239,1,249066,15442,3964,2374,1666,3960,2372,1664,100,100,0,500,3960;
@400000005e56c5c324ebfb5d #d,-,18,3958,2374,1694,240,1,249207,15450,3960,2374,1694,3958,2372,1666,99,100,0,500,3961;
@400000005e56c5c524fbe8b2 #d,-,18,3959,2374,1668,241,1,249344,15459,3959,2374,1698,3958,2372,1659,99,100,0,500,3992;
@400000005e56c5c52507f719 #d,-,18,3957,2373,1667,242,1,249478,15467,3959,2374,1669,3957,2372,1666,99,100,0,500,3960;
@400000005e56c5c7251875b7 #d,-,18,3955,2373,1666,243,1,249708,15481,3957,2374,1669,3955,2371,1666,99,100,0,500,3961;
@400000005e56c5c725230469 #d,-,18,3953,2373,1668,244,1,249741,15484,3955,2374,1670,3953,2371,1666,99,100,0,500,3963;
@400000005e56c5c92533c25c #d,-,18,3952,2374,1689,245,1,249874,15492,3953,2374,1689,3952,2372,1667,99,100,0,500,3965;
@400000005e56c5c9253e2daa #d,-,18,3957,2374,1669,246,1,250015,15500,3957,2374,1717,3952,2372,1663,98,100,0,500,4011;
@400000005e56c5cb254ee33b #d,-,18,3955,2374,1675,247,1,250147,15509,3957,2375,1675,3955,2373,1669,99,100,0,500,3965;
@400000005e56c5cb25594716 #d,-,18,3956,2375,1672,248,1,250278,15517,3956,2375,1675,3955,2372,1671,99,100,0,500,3979;
@400000005e56c5cd256ac03b #d,-,18,3956,2374,1671,250,1,250408,15525,3956,2375,1677,3956,2373,1670,99,100,0,500,3976;
@400000005e56c5cd257518e9 #d,-,18,3955,2374,1677,251,1,250537,15533,3956,2376,1677,3955,2373,1670,99,100,0,500,3976;
@400000005e56c5cf25855cdb #d,-,18,3959,2374,1671,252,1,250672,15541,3959,2376,1704,3955,2373,1664,98,100,0,500,4006;
@400000005e56c5cf25908f77 #d,-,18,3958,2373,1673,253,1,250799,15549,3959,2375,1675,3958,2373,1671,99,100,0,500,3972;
@400000005e56c5d125a1c67c #d,-,18,3958,2375,1672,254,1,250925,15557,3958,2375,1674,3958,2373,1671,99,100,0,500,3977;
@400000005e56c5d125ac8006 #d,-,18,3790,2377,1350,255,1,250894,15555,3958,2377,1673,3790,2375,1308,97,100,0,500,3883;
@400000005e56c5d325bdbac4 #d,-,18,3214,2377,1407,256,1,250838,15552,3790,2377,1407,3214,2375,1350,99,100,0,500,3237;
@400000005e56c5d325c86921 #d,-,18,3379,2376,1394,257,1,250903,15555,3379,2377,1488,3214,2375,1385,99,100,0,500,3392;
@400000005e56c5d525d9d9e4 #d,-,18,3374,2375,1462,258,1,250780,15548,3379,2377,1462,3374,2374,1394,99,100,0,500,3378;
@400000005e56c5d525e48fb4 #d,-,18,3474,2374,1462,259,1,250784,15548,3474,2376,1520,3374,2374,1461,99,100,0,500,3483;
@400000005e56c5d725f5f0a2 #d,-,18,3478,2374,1470,260,1,250791,15549,3478,2375,1521,3474,2373,1462,98,100,0,500,3529;
@400000005e56c5d7260068fa #d,-,18,3480,2376,1480,261,1,250793,15549,3480,2376,1490,3478,2373,1470,98,100,0,500,3527;
@400000005e56c5d926120fc1 #d,-,18,3485,2376,1467,261,1,250893,15555,3485,2376,1518,3480,2374,1467,98,100,0,500,3541;
@400000005e56c5d9261cb6ab #d,-,18,3487,2376,1480,263,1,250801,15549,3487,2377,1485,3485,2373,1467,98,100,0,500,3536;
@400000005e56c5db262cfa9c #d,-,18,3489,2377,1480,263,1,250802,15549,3489,2377,1483,3487,2375,1475,99,100,0,500,3524;
@400000005e56c5db2638878f #d,-,18,3490,2376,1482,264,1,250802,15549,3490,2378,1482,3489,2375,1474,99,100,0,500,3522;
@400000005e56c5dd2649b632 #d,-,18,3491,2377,1480,265,1,250803,15549,3491,2377,1485,3490,2375,1478,99,100,0,500,3524;
@400000005e56c5dd2654781e #d,-,18,3494,2377,1473,266,1,250811,15550,3494,2377,1511,3491,2375,1473,98,100,0,500,3532;
@400000005e56c5df2665d552 #d,-,18,3495,2377,1481,267,1,250811,15550,3495,2378,1483,3494,2374,1470,98,100,0,500,3538;
@400000005e56c5df26708769 #d,-,18,3496,2375,1479,268,1,250812,15550,3496,2377,1483,3495,2375,1478,99,100,0,500,3525;
@400000005e56c5e12681f82b #d,-,18,3496,2375,1479,269,1,250811,15550,3496,2377,1483,3496,2375,1473,99,100,0,500,3524;
@400000005e56c5e1268d6dd6 #d,-,18,3495,2375,1480,270,1,250811,15550,3496,2377,1482,3495,2374,1474,99,100,0,500,3518;
@400000005e56c5e3269dd52b #d,-,18,3496,2376,1480,271,1,250818,15550,3496,2377,1512,3495,2374,1472,99,100,0,500,3520;
@400000005e56c5e326a73bb5 #d,-,18,3498,2374,1480,272,1,250906,15556,3498,2377,1481,3496,2374,1471,98,100,0,500,3541;
@400000005e56c5e526b5743f #d,-,18,3497,2375,1479,273,1,250905,15556,3498,2377,1484,3497,2374,1474,99,100,0,500,3518;
@400000005e56c5e526bf3431 #d,-,18,3497,2376,1481,274,1,250816,15550,3497,2377,1481,3497,2375,1474,99,100,0,500,3524;
@400000005e56c5e726ceb57d #d,-,18,3496,2376,1480,275,1,250814,15550,3497,2377,1484,3496,2374,1471,99,100,0,500,3515;
@400000005e56c5e726d957be #d,-,18,3496,2377,1492,276,1,250821,15550,3496,2377,1508,3496,2375,1477,99,100,0,500,3518;
@400000005e56c5e926ead0e3 #d,-,18,3499,2377,1478,277,1,250819,15550,3499,2377,1492,3496,2375,1468,98,100,0,500,3543;
@400000005e56c5e926f55bdc #d,-,18,3497,2376,1479,278,1,250817,15550,3499,2377,1481,3497,2374,1466,99,100,0,500,3509;
@400000005e56c5eb2706e7a0 #d,-,18,3496,2376,1477,279,1,250814,15550,3497,2377,1480,3496,2375,1472,99,100,0,500,3518;
@400000005e56c5eb2711676d #d,-,18,3495,2376,1479,280,1,250813,15550,3496,2377,1481,3495,2375,1474,99,100,0,500,3513;
@400000005e56c5ed2721c2a6 #d,-,18,3493,2376,1499,281,1,250814,15550,3495,2378,1500,3493,2375,1464,99,100,0,500,3504;
@400000005e56c5ed272d4f99 #d,-,18,3494,2374,1474,282,1,250810,15550,3494,2377,1499,3493,2374,1465,98,100,0,500,3531;
@400000005e56c5ef273e33bb #d,-,18,3493,2377,1429,283,1,250802,15549,3494,2377,1478,3493,2374,1429,99,100,0,500,3506;
@400000005e56c5ef2748cacf #d,-,18,3274,2376,1472,284,1,250776,15548,3493,2377,1608,3274,2374,1283,98,100,0,500,3324;
@400000005e56c5f1275891f5 #d,-,18,3269,2378,1148,284,1,250599,15537,3274,2378,1472,3269,2376,1125,98,100,0,500,3331;
@400000005e56c5f12762f217 #d,-,18,2719,2378,1094,285,1,250491,15530,3269,2378,1186,2719,2376,1094,98,100,0,500,2748;
@400000005e56c5f32773b3c3 #d,-,18,2717,2377,1159,286,1,250221,15513,2719,2378,1181,2717,2374,1088,99,100,0,500,2742;
@400000005e56c5f3277df43a #d,-,18,2719,2374,1164,287,1,250039,15502,2719,2377,1165,2717,2374,1159,98,100,0,500,2767;
@400000005e56c5f5278dee98 #d,-,18,2721,2374,1162,287,1,249859,15491,2721,2377,1164,2719,2374,1162,98,100,0,500,2771;
@400000005e56c5f52799387d #d,-,18,2723,2374,1162,288,1,249679,15480,2723,2376,1163,2721,2373,1162,98,100,0,500,2769;
@400000005e56c5f727a917da #d,-,18,2724,2375,1192,289,1,249505,15469,2724,2377,1192,2723,2374,1161,98,100,0,500,2767;
@400000005e56c5f727b4754d #d,-,18,2729,2377,1164,290,1,249331,15458,2729,2379,1193,2724,2375,1156,97,100,0,500,2799;
@400000005e56c5f927c56944 #d,-,18,2730,2378,1163,291,1,249155,15447,2730,2379,1164,2729,2376,1162,98,100,0,500,2767;
@400000005e56c5f927cfd93b #d,-,18,2731,2378,1162,291,1,248980,15436,2731,2379,1163,2730,2377,1161,98,100,0,500,2771;
@400000005e56c5fb27e0b22f #d,-,18,2732,2378,1162,292,1,248807,15426,2732,2378,1163,2731,2376,1161,98,100,0,500,2769;
@400000005e56c5fb27eb2138 #d,-,18,2732,2379,1183,293,1,248718,15420,2732,2379,1183,2732,2376,1161,98,100,0,500,2771;
@400000005e56c5fd27fc019f #d,-,18,2736,2379,1163,294,1,248470,15405,2736,2380,1192,2732,2377,1154,97,100,0,500,2799;
@400000005e56c5fd28063330 #d,-,18,2736,2379,1162,294,1,248300,15394,2736,2379,1163,2736,2377,1160,98,100,0,500,2767;
@400000005e56c5ff28160671 #d,-,18,2736,2375,1165,295,1,248131,15384,2736,2379,1165,2736,2372,1160,98,100,0,500,2771;
@400000005e56c5ff282163e5 #d,-,18,2736,2375,1164,296,1,247963,15373,2736,2376,1165,2736,2374,1161,98,100,0,500,2767;
@400000005e56c60128322591 #d,-,18,2735,2373,1171,297,1,247875,15368,2736,2376,1171,2735,2373,1162,98,100,0,500,2769;
@400000005e56c601283ccb8c #d,-,18,2739,2366,1169,297,1,247635,15353,2739,2376,1194,2735,2366,1158,97,100,0,500,2797;
@400000005e56c603284dafad #d,-,18,2738,2374,1177,298,1,247472,15343,2739,2377,1177,2738,2366,1160,98,100,0,500,2767;
@400000005e56c60328581831 #d,-,18,2739,2375,1166,299,1,247310,15333,2739,2376,1177,2738,2373,1162,98,100,0,500,2778;
@400000005e56c60528692f8b #d,-,18,2739,2374,1163,300,1,247147,15323,2739,2375,1166,2739,2370,1162,98,100,0,500,2773;
@400000005e56c60528739ada #d,-,18,2739,2374,1165,300,1,246985,15313,2739,2375,1165,2739,2372,1163,98,100,0,500,2769;
@400000005e56c607288467b3 #d,-,18,2742,2376,1159,301,1,246831,15303,2742,2376,1195,2739,2373,1154,98,100,0,500,2796;
@400000005e56c607288eb8ee #d,-,18,2740,2377,1164,302,1,246671,15293,2742,2377,1164,2740,2374,1159,99,100,0,500,2767;
@400000005e56c609289e7b6c #d,-,18,2740,2376,1162,303,1,246512,15283,2740,2377,1164,2740,2374,1162,98,100,0,500,2771;
@400000005e56c60928a9becc #d,-,18,2739,2375,1162,303,1,246354,15273,2740,2376,1163,2739,2374,1161,98,100,0,500,2767;
@400000005e56c60b28bb1846 #d,-,18,2738,2374,1331,304,1,246288,15269,2739,2376,1331,2738,2373,1162,98,100,0,500,2767;
@400000005e56c60b28c656fe #d,-,18,3182,2373,1631,305,1,246233,15266,3182,2374,1631,2738,2372,1331,100,100,0,500,3182;
@400000005e56c60d28d362b7 #d,-,18,3708,2373,1632,306,1,246323,15272,3708,2373,1651,3182,2371,1612,99,100,0,500,3714;
@400000005e56c60d28de7697 #d,-,18,3848,2373,1625,307,1,246416,15277,3848,2374,1637,3708,2371,1624,99,100,0,500,3865;
@400000005e56c60f28ee936b #d,-,18,3846,2372,1628,308,1,246505,15283,3848,2373,1628,3846,2370,1625,99,100,0,500,3860;
@400000005e56c60f28f968e6 #d,-,18,3846,2371,1627,309,1,246595,15288,3846,2372,1628,3846,2369,1626,99,100,0,500,3863;
@400000005e56c6112909a1aa #d,-,18,3848,2369,1620,311,1,246692,15294,3848,2372,1661,3846,2369,1620,99,100,0,500,3878;
@400000005e56c6112914d8ee #d,-,18,3849,2371,1638,312,1,246782,15300,3849,2372,1638,3848,2369,1620,99,100,0,500,3881;
@400000005e56c61329235b0c #d,-,18,3850,2371,1627,313,1,246872,15306,3850,2372,1640,3849,2370,1626,99,100,0,500,3879;
@400000005e56c61329300d5d #d,-,18,3849,2371,1637,314,1,246962,15311,3850,2372,1637,3849,2370,1627,99,100,0,500,3869;
@400000005e56c6152942a737 #d,-,18,3851,2371,1632,315,1,247127,15321,3851,2373,1638,3849,2370,1629,99,100,0,500,3879;
@400000005e56c615294d60c1 #d,-,18,3853,2373,1633,316,1,247224,15327,3853,2373,1664,3851,2370,1632,99,100,0,500,3883;
@400000005e56c617295e29e0 #d,-,18,3856,2373,1642,317,1,247240,15328,3856,2373,1642,3853,2371,1626,98,100,0,500,3903;
@400000005e56c6172969b6d3 #d,-,18,3857,2373,1635,318,1,247330,15334,3857,2373,1646,3856,2370,1632,99,100,0,500,3892;
@400000005e56c619297cb9eb #d,-,18,3858,2373,1636,319,1,247420,15340,3858,2373,1636,3857,2371,1633,99,100,0,500,3881;
@400000005e56c61929873243 #d,-,18,3858,2373,1647,320,1,247510,15345,3858,2374,1647,3858,2371,1633,99,100,0,500,3885;
@400000005e56c61b29983d82 #d,-,18,3862,2374,1648,321,1,247682,15356,3862,2374,1668,3858,2371,1643,98,100,0,500,3904;
@400000005e56c61b29a2bc60 #d,-,18,3865,2374,1640,322,2,247697,15357,3865,2374,1648,3862,2372,1629,98,100,0,500,3913;
@400000005e56c61d29b2d57a #d,-,18,3867,2374,1646,323,2,247787,15362,3867,2374,1646,3865,2372,1637,99,100,0,500,3897;
@400000005e56c61d29bdfce9 #d,-,18,3869,2373,1639,324,2,247878,15368,3869,2374,1651,3867,2371,1638,99,100,0,500,3906;
@400000005e56c61f29cee96d #d,-,18,3870,2372,1642,326,2,247967,15373,3870,2374,1643,3869,2371,1639,99,100,0,500,3897;
@400000005e56c61f29d9c2a1 #d,-,18,3871,2370,1669,327,2,248136,15384,3871,2373,1675,3870,2370,1641,99,100,0,500,3901;
@400000005e56c62129ea8bc0 #d,-,18,3876,2372,1652,328,2,248225,15389,3876,2372,1669,3871,2370,1636,98,100,0,500,3931;
@400000005e56c62129f5032a #d,-,18,3878,2372,1645,329,2,248244,15391,3878,2372,1656,3876,2370,1644,99,100,0,500,3917;
@400000005e56c6232a05c02e #d,-,18,3879,2371,1647,330,2,248334,15396,3879,2373,1648,3878,2371,1645,99,100,0,500,3908;
@400000005e56c6232a105eb6 #d,-,18,3881,2372,1645,331,2,248423,15402,3881,2372,1648,3879,2370,1645,99,100,0,500,3915;
@400000005e56c6252a213f1e #d,-,18,3879,2370,1661,332,2,248509,15407,3881,2373,1662,3879,2370,1625,99,100,0,500,3892;
@400000005e56c6252a2bd9ec #d,-,18,3879,2372,1635,333,2,248590,15412,3879,2373,1661,3879,2370,1622,99,100,0,500,3901;
@400000005e56c6272a3bdbbe #d,-,18,3877,2370,1656,334,2,248673,15417,3879,2372,1656,3877,2370,1631,99,100,0,500,3879;
@400000005e56c6272a46e82b #d,-,18,3940,2372,1701,335,2,248783,15424,3940,2373,1703,3877,2370,1656,99,100,0,500,3949;
@400000005e56c6292a5756f4 #d,-,18,3945,2370,1685,336,2,248959,15435,3945,2373,1701,3940,2370,1667,98,100,0,500,4006;
@400000005e56c6292a61e1ed #d,-,18,3950,2372,1716,337,2,248997,15437,3950,2373,1716,3945,2370,1683,98,100,0,500,4004;
@400000005e56c62b2a7278c2 #d,-,18,4011,2373,1699,339,2,249104,15444,4011,2373,1716,3950,2371,1675,99,100,0,500,4034;
@400000005e56c62b2a7d03bb #d,-,18,4009,2373,1687,340,2,249211,15451,4011,2373,1705,4009,2371,1679,99,100,0,500,4018;
@400000005e56c62d2a8d99a1 #d,-,18,4006,2373,1693,341,2,249316,15457,4009,2374,1693,4006,2372,1685,100,100,0,500,4006;
@400000005e56c62d2a980998 #d,-,18,4005,2372,1688,342,2,249421,15464,4006,2373,1693,4005,2371,1685,99,100,0,500,4017;
@400000005e56c62f2aa96312 #d,-,18,4003,2373,1719,343,2,249528,15470,4005,2374,1719,4003,2371,1686,99,100,0,500,4009;
@400000005e56c62f2ab3e2de #d,-,18,4006,2374,1692,344,2,249635,15477,4006,2374,1725,4003,2371,1681,98,100,0,500,4047;
@400000005e56c6312abe0fc7 #d,-,18,4004,2371,1691,345,2,249738,15483,4006,2374,1693,4004,2371,1685,99,100,0,500,4008;
@400000005e56c6312ac318ba #d,-,18,4003,2371,1690,346,2,249839,15490,4004,2373,1692,4003,2371,1683,99,100,0,500,4013;
@400000005e56c6332ac94ac5 #d,-,18,4001,2372,1458,347,2,249971,15498,4003,2373,1692,4001,2370,1456,99,100,0,500,4009;
@400000005e56c6332acc4851 #d,-,18,3614,2373,1565,348,2,249933,15495,4001,2373,1565,3614,2371,1458,98,100,0,500,3669;
@400000005e56c6352adba639 #d,-,18,3678,2373,1555,349,2,249971,15498,3678,2374,1587,3614,2371,1530,99,100,0,500,3702;
@400000005e56c6352ae660b2 #d,-,18,3731,2373,1645,351,2,250039,15502,3731,2374,1645,3678,2371,1555,99,100,0,500,3737;
@400000005e56c6372af76748 #d,-,18,3853,2374,1563,352,2,250167,15510,3853,2374,1664,3731,2371,1554,99,100,0,500,3878;
@400000005e56c6372b020217 #d,-,18,3728,2374,1575,353,2,250218,15513,3853,2375,1595,3728,2371,1563,99,100,0,500,3753;
@400000005e56c6392b0e4b2a #d,-,18,3728,2375,1555,354,2,250197,15512,3728,2375,1588,3728,2373,1555,99,100,0,500,3757;
@400000005e56c6392b197dc7 #d,-,18,3724,2375,1531,355,2,250228,15514,3728,2375,1558,3724,2373,1526,99,100,0,500,3726;
@400000005e56c63b2b2365c4 #d,-,18,3618,2374,1535,356,2,250254,15515,3724,2375,1535,3618,2373,1531,99,100,0,500,3645;
@400000005e56c63b2b2ba336 #d,-,18,3618,2375,1531,357,2,250279,15517,3618,2376,1535,3618,2373,1528,99,100,0,500,3646;
@400000005e56c63d2b36c5fe #d,-,18,3617,2376,1531,358,2,250303,15518,3618,2376,1532,3617,2373,1525,99,100,0,500,3636;
@400000005e56c63d2b4187e9 #d,-,18,3617,2375,1530,359,2,250329,15520,3617,2377,1533,3617,2375,1529,99,100,0,500,3643;
@400000005e56c63f2b4b8ae9 #d,-,18,3621,2376,1527,360,2,250359,15522,3621,2377,1562,3617,2375,1525,98,100,0,500,3664;
@400000005e56c63f2b56b612 #d,-,18,3621,2376,1531,361,2,250385,15523,3621,2378,1533,3621,2375,1527,99,100,0,500,3650;
@400000005e56c6412b608220 #d,-,18,3621,2378,1530,362,2,250409,15525,3621,2378,1532,3621,2376,1527,99,100,0,500,3641;
@400000005e56c6412b6a9b7a #d,-,18,3620,2376,1528,363,2,250433,15526,3621,2378,1533,3620,2374,1527,99,100,0,500,3643;
@400000005e56c6432b790383 #d,-,18,3620,2375,1529,364,2,250457,15528,3620,2376,1533,3620,2372,1528,99,100,0,500,3641;
@400000005e56c6432b8445f5 #d,-,18,3622,2374,1525,365,2,250487,15530,3622,2375,1564,3620,2372,1525,99,100,0,500,3653;
@400000005e56c6452b8e3566 #d,-,18,3620,2373,1529,366,2,250508,15531,3622,2376,1539,3620,2372,1503,99,100,0,500,3639;
@400000005e56c6452b983004 #d,-,18,3620,2372,1530,367,2,250532,15533,3620,2374,1534,3620,2372,1527,99,100,0,500,3643;
