@400000005e26ada506230bed #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e26ada5301c063c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e26ae5e03a47703 #d,-,18,3968,2330,1760,177,1,250202,15512,3968,2331,1764,3967,2329,1750,95,100,0,500,4138;
@400000005e26ae6003b37a95 #d,-,18,3968,2330,1747,178,1,250388,15524,3968,2331,1762,3968,2330,1733,96,100,0,500,4128;
@400000005e26ae6003bce11e #d,-,18,3968,2330,1756,179,1,250581,15536,3968,2331,1770,3968,2330,1745,96,100,0,500,4123;
@400000005e26ae6203cb9ed6 #d,-,18,3971,2330,1756,180,1,250772,15547,3971,2331,1764,3968,2330,1753,95,100,0,500,4145;
@400000005e26ae6203d4f0e3 #d,-,18,3973,2330,1763,181,1,250961,15559,3973,2330,1764,3971,2329,1753,95,100,0,500,4147;
@400000005e26ae6403e3e947 #d,-,18,3974,2330,1765,182,1,251150,15571,3974,2331,1766,3973,2329,1756,95,100,0,500,4142;
@400000005e26ae6403ed6719 #d,-,18,3975,2332,1758,184,1,251335,15582,3975,2332,1765,3974,2330,1756,95,100,0,500,4145;
@400000005e26ae6603fcdc4a #d,-,18,3977,2333,1756,185,1,251519,15594,3977,2333,1765,3975,2331,1754,95,100,0,500,4147;
@400000005e26ae66040626e3 #d,-,18,3978,2333,1755,186,1,251702,15605,3978,2333,1763,3977,2333,1753,95,100,0,500,4147;
@400000005e26ae6804155905 #d,-,18,3979,2333,1757,187,1,251881,15616,3979,2334,1763,3978,2333,1753,95,100,0,500,4147;
@400000005e26ae68041ed6d7 #d,-,18,3980,2333,1762,188,1,252059,15627,3980,2334,1763,3979,2333,1754,96,100,0,500,4142;
@400000005e26ae6a042e062e #d,-,18,3979,2331,1748,189,1,252222,15637,3980,2333,1768,3979,2331,1713,96,100,0,500,4140;
@400000005e26ae6a0437a676 #d,-,18,3977,2333,1757,190,1,252394,15648,3979,2333,1765,3977,2331,1739,96,100,0,500,4119;
@400000005e26ae6c0446d987 #d,-,18,3978,2332,1758,191,1,252566,15659,3978,2333,1762,3977,2331,1754,95,100,0,500,4147;
@400000005e26ae6c04502b93 #d,-,18,3979,2331,1755,192,1,252736,15669,3979,2332,1763,3978,2331,1753,96,100,0,500,4142;
@400000005e26ae6e045f43a2 #d,-,18,3979,2333,1756,194,1,252903,15680,3979,2333,1761,3979,2331,1752,96,100,0,500,4140;
@400000005e26ae6e0468cca1 #d,-,18,3979,2333,1753,195,1,253069,15690,3979,2334,1760,3979,2332,1751,96,100,0,500,4138;
@400000005e26ae7004782a89 #d,-,18,3980,2333,1757,196,1,253232,15700,3980,2334,1759,3979,2333,1750,96,100,0,500,4140;
@400000005e26ae7004819ff9 #d,-,18,3980,2334,1751,197,1,253394,15710,3980,2334,1758,3980,2333,1751,96,100,0,500,4140;
@400000005e26ae720490ee0c #d,-,18,3980,2334,1756,198,1,253556,15720,3980,2335,1760,3980,2333,1751,96,100,0,500,4142;
@400000005e26ae72049a3d4e #d,-,18,3980,2337,1760,199,1,253717,15730,3980,2337,1760,3980,2334,1752,96,100,0,500,4140;
@400000005e26ae7404a9732a #d,-,18,3981,2336,1752,200,1,253876,15740,3981,2337,1760,3980,2336,1752,95,100,0,500,4147;
@400000005e26ae7404b2e988 #d,-,18,3981,2337,1757,201,1,254157,15757,3981,2337,1759,3981,2335,1751,96,100,0,500,4145;
@400000005e26ae7604c2529d #d,-,18,3981,2335,1750,202,1,254189,15759,3981,2337,1760,3981,2335,1750,96,100,0,500,4145;
@400000005e26ae7604cbad0c #d,-,18,3982,2334,1759,203,1,254467,15776,3982,2336,1761,3981,2334,1750,96,100,0,500,4145;
@400000005e26ae7804dadb74 #d,-,18,3984,2336,1765,204,1,254625,15786,3984,2337,1767,3982,2333,1758,95,100,0,500,4152;
@400000005e26ae7804e4ab3b #d,-,18,3986,2336,1764,206,1,254782,15796,3986,2338,1768,3984,2336,1760,95,100,0,500,4166;
@400000005e26ae7a04f3e206 #d,-,18,3988,2334,1766,207,1,254817,15798,3988,2336,1767,3986,2334,1759,95,100,0,500,4161;
@400000005e26ae7a04fd5003 #d,-,18,3989,2336,1758,208,1,254970,15808,3989,2336,1768,3988,2333,1758,95,100,0,500,4164;
@400000005e26ae7c050cb55e #d,-,18,3991,2335,1765,209,1,255122,15817,3991,2336,1768,3989,2335,1757,95,100,0,500,4161;
@400000005e26ae7c0515f884 #d,-,18,3992,2333,1762,210,1,255273,15826,3992,2335,1768,3991,2332,1760,95,100,0,500,4159;
@400000005e26ae7e05253308 #d,-,18,3993,2335,1764,211,1,255424,15836,3993,2335,1767,3992,2333,1760,96,100,0,500,4159;
@400000005e26ae7e052ebcf6 #d,-,18,3994,2335,1762,212,1,255573,15845,3994,2335,1767,3993,2334,1760,95,100,0,500,4161;
@400000005e26ae80053dcbb4 #d,-,18,3995,2332,1762,213,1,255717,15854,3995,2335,1770,3994,2332,1758,96,100,0,500,4161;
@400000005e26ae80054739b1 #d,-,18,3995,2334,1765,214,1,255862,15863,3995,2334,1767,3995,2332,1758,96,100,0,500,4159;
@400000005e26ae820555ec3c #d,-,18,3995,2333,1761,216,1,256006,15872,3995,2334,1769,3995,2332,1760,96,100,0,500,4159;
@400000005e26ae82055fa012 #d,-,18,3996,2336,1766,217,1,256149,15881,3996,2336,1766,3995,2332,1758,96,100,0,500,4161;
@400000005e26ae84056ee6b2 #d,-,18,3996,2337,1759,218,1,256289,15889,3996,2337,1766,3996,2335,1758,96,100,0,500,4154;
@400000005e26ae84057854af #d,-,18,3997,2335,1762,219,1,256429,15898,3997,2337,1768,3996,2334,1758,96,100,0,500,4159;
@400000005e26ae8605875bfa #d,-,18,3997,2334,1764,220,1,256568,15907,3997,2336,1768,3997,2334,1758,95,100,0,500,4164;
@400000005e26ae860590ba22 #d,-,18,3997,2334,1760,221,1,256705,15915,3997,2334,1768,3997,2333,1758,96,100,0,500,4159;
@400000005e26ae88059f7f4d #d,-,18,3997,2334,1766,222,1,256842,15924,3997,2334,1767,3997,2332,1758,96,100,0,500,4156;
@400000005e26ae8805a927f7 #d,-,18,3997,2336,1758,223,1,256976,15932,3997,2336,1767,3997,2333,1757,96,100,0,500,4159;
@400000005e26ae8a05b82415 #d,-,18,3998,2335,1764,224,1,257111,15940,3998,2336,1766,3997,2334,1758,96,100,0,500,4161;
@400000005e26ae8a05c19212 #d,-,18,3998,2336,1762,226,1,257357,15956,3998,2337,1766,3998,2334,1759,96,100,0,500,4156;
@400000005e26ae8c05d0b54e #d,-,18,3998,2336,1761,227,1,257488,15964,3998,2336,1765,3998,2335,1759,96,100,0,500,4161;
@400000005e26ae8c05da234a #d,-,18,3999,2335,1763,228,1,257618,15972,3999,2336,1765,3998,2335,1757,96,100,0,500,4156;
@400000005e26ae8e05e988a6 #d,-,18,3999,2335,1761,229,1,257634,15973,3999,2336,1766,3999,2334,1759,96,100,0,500,4159;
@400000005e26ae8e05f2fa5d #d,-,18,3999,2335,1763,230,1,257875,15988,3999,2336,1765,3999,2334,1757,96,100,0,500,4161;
@400000005e26ae9006025845 #d,-,18,3999,2337,1761,231,1,258001,15996,3999,2337,1766,3999,2334,1759,96,100,0,500,4159;
@400000005e26ae90060bab3f #d,-,18,3999,2338,1765,232,1,258015,15996,3999,2338,1766,3999,2337,1758,96,100,0,500,4161;
@400000005e26ae92061a50c1 #d,-,18,3999,2337,1761,233,1,258141,16004,3999,2338,1765,3999,2336,1757,96,100,0,500,4161;
@400000005e26ae9206244032 #d,-,18,3999,2338,1759,234,1,258265,16012,3999,2339,1764,3999,2336,1756,96,100,0,500,4159;
@400000005e26ae940634039d #d,-,18,3999,2337,1763,236,1,258387,16020,3999,2338,1764,3999,2337,1755,96,100,0,500,4159;
@400000005e26ae94063d61c5 #d,-,18,3999,2338,1759,237,1,258509,16027,3999,2339,1767,3999,2336,1756,96,100,0,500,4159;
@400000005e26ae96064cd33c #d,-,18,3999,2338,1761,238,1,258628,16034,3999,2338,1764,3999,2336,1755,96,100,0,500,4161;
@400000005e26ae9606562549 #d,-,18,3998,2338,1755,239,1,258747,16042,3999,2339,1762,3998,2337,1753,96,100,0,500,4154;
@400000005e26ae9806652167 #d,-,18,3997,2338,1759,240,1,258973,16056,3998,2339,1767,3997,2337,1753,96,100,0,500,4154;
@400000005e26ae98066eaf0e #d,-,18,3998,2336,1756,241,1,259089,16063,3998,2338,1763,3997,2336,1753,96,100,0,500,4156;
@400000005e26ae9a067e2f6b #d,-,18,3997,2337,1759,242,1,259097,16064,3998,2338,1764,3997,2336,1756,96,100,0,500,4156;
@400000005e26ae9a0687a5ca #d,-,18,3997,2335,1764,243,1,259212,16071,3997,2337,1766,3997,2334,1758,96,100,0,500,4156;
@400000005e26ae9c0697931f #d,-,18,3997,2337,1759,244,1,259326,16078,3997,2337,1765,3997,2335,1757,96,100,0,500,4156;
@400000005e26ae9c06a0e9d3 #d,-,18,3997,2337,1764,246,1,259440,16085,3997,2338,1765,3997,2337,1756,96,100,0,500,4156;
@400000005e26ae9e06affd3a #d,-,18,3997,2338,1756,247,1,259551,16092,3997,2338,1766,3997,2336,1753,96,100,0,500,4159;
@400000005e26ae9e06b97ec6 #d,-,18,3997,2335,1761,248,1,259664,16099,3997,2338,1766,3997,2335,1754,96,100,0,500,4159;
@400000005e26aea006c8d092 #d,-,18,3997,2335,1768,249,1,259776,16106,3997,2336,1768,3997,2334,1757,96,100,0,500,4159;
@400000005e26aea006d21fd3 #d,-,18,3997,2336,1758,250,1,259885,16112,3997,2336,1768,3997,2335,1756,96,100,0,500,4159;
@400000005e26aea206e06833 #d,-,18,3998,2335,1762,251,1,259995,16119,3998,2337,1766,3997,2335,1755,96,100,0,500,4159;
@400000005e26aea206ea20b1 #d,-,18,3998,2337,1758,252,1,260103,16126,3998,2337,1767,3998,2334,1756,96,100,0,500,4159;
@400000005e26aea406f97637 #d,-,18,3998,2338,1764,253,1,260212,16133,3998,2338,1769,3998,2336,1755,96,100,0,500,4164;
@400000005e26aea40702d0a6 #d,-,18,3998,2335,1603,254,1,260279,16137,3998,2338,1764,3998,2335,1603,96,100,0,500,4156;
@400000005e26aea60711a960 #d,-,18,3609,2339,1289,255,1,260149,16129,3998,2339,1621,3609,2335,1289,93,100,0,500,3860;
@400000005e26aea6071ac568 #d,-,18,3192,2338,1390,256,1,260043,16122,3609,2340,1793,3192,2337,1244,96,100,0,500,3320;
@400000005e26aea807274ce2 #d,-,18,2685,2341,1167,257,1,259709,16102,3192,2341,1390,2685,2337,991,87,100,0,500,3066;
@400000005e26aea8072ff391 #d,-,18,2509,2338,1164,258,1,259501,16089,2685,2341,1175,2509,2338,1156,90,100,0,500,2779;
@400000005e26aeaa073c3089 #d,-,18,2509,2340,1165,258,1,259093,16063,2509,2341,1168,2509,2338,1161,90,100,0,500,2765;
@400000005e26aeaa074511e5 #d,-,18,2508,2340,1159,259,1,258788,16044,2509,2340,1166,2508,2339,1158,90,100,0,500,2763;
@400000005e26aeac07524fe8 #d,-,18,2508,2339,1161,260,1,258483,16025,2508,2341,1164,2508,2339,1155,90,100,0,500,2758;
@400000005e26aeac075adf4f #d,-,18,2505,2339,1157,260,1,258177,16007,2508,2339,1161,2505,2337,1150,91,100,0,500,2746;
@400000005e26aeae07673bf2 #d,-,18,2504,2338,1157,261,1,257874,15988,2505,2340,1161,2504,2338,1149,91,100,0,500,2749;
@400000005e26aeae0770446b #d,-,18,2500,2338,1149,262,1,257570,15969,2504,2339,1157,2500,2337,1148,91,100,0,500,2734;
@400000005e26aeb0077d2cc0 #d,-,18,2497,2337,1156,262,1,257269,15950,2500,2338,1156,2497,2337,1148,91,100,0,500,2734;
@400000005e26aeb00785bc27 #d,-,18,2495,2338,1146,263,1,256969,15932,2497,2338,1157,2495,2336,1144,91,100,0,500,2734;
@400000005e26aeb20792a924 #d,-,18,2491,2334,1148,264,1,256667,15913,2495,2338,1150,2491,2334,1139,91,100,0,500,2727;
@400000005e26aeb2079b6362 #d,-,18,2487,2337,1148,264,1,256369,15894,2491,2337,1151,2487,2334,1145,91,100,0,500,2718;
@400000005e26aeb407a7d65f #d,-,18,2484,2335,1148,265,1,256167,15882,2487,2337,1151,2484,2334,1144,91,100,0,500,2723;
@400000005e26aeb407b0db1e #d,-,18,2481,2336,1149,266,1,255778,15858,2484,2336,1150,2481,2334,1145,91,100,0,500,2723;
@400000005e26aeb607bd726d #d,-,18,2478,2336,1143,266,1,255485,15840,2481,2337,1153,2478,2335,1142,91,100,0,500,2720;
@400000005e26aeb607c6058e #d,-,18,2475,2335,1141,267,1,255191,15821,2478,2336,1147,2475,2334,1134,91,100,0,500,2715;
@400000005e26aeb807d259ce #d,-,18,2472,2335,1142,268,1,254900,15803,2475,2335,1147,2472,2333,1137,91,100,0,500,2706;
@400000005e26aeb807db69bb #d,-,18,2469,2336,1142,268,1,254612,15785,2472,2336,1148,2469,2335,1137,91,100,0,500,2708;
@400000005e26aeba07e87dd6 #d,-,18,2467,2336,1144,269,1,254325,15768,2469,2337,1147,2467,2335,1138,90,100,0,500,2711;
@400000005e26aeba07f10895 #d,-,18,2465,2337,1142,270,1,254042,15750,2467,2337,1151,2465,2335,1139,90,100,0,500,2713;
@400000005e26aebc07fd6caa #d,-,18,2463,2337,1145,271,1,253760,15733,2465,2338,1146,2463,2337,1138,90,100,0,500,2711;
@400000005e26aebc0806232f #d,-,18,2462,2336,1146,271,1,253482,15715,2463,2337,1148,2462,2335,1142,90,100,0,500,2715;
@400000005e26aebe08129e8d #d,-,18,2462,2336,1140,272,1,253204,15698,2462,2336,1150,2462,2331,1138,90,100,0,500,2715;
@400000005e26aebe081bda3f #d,-,18,2460,2334,1141,273,1,252927,15681,2462,2337,1143,2460,2333,1135,90,100,0,500,2708;
@400000005e26aec008288ba2 #d,-,18,2458,2333,1141,273,1,252652,15664,2460,2336,1144,2458,2333,1136,90,100,0,500,2704;
@400000005e26aec008311fb1 #d,-,18,2458,2332,1146,274,1,252380,15647,2458,2334,1148,2458,2328,1138,90,100,0,500,2711;
@400000005e26aec2083e32dd #d,-,18,2456,2334,1150,275,1,252109,15630,2458,2334,1150,2456,2331,1139,90,100,0,500,2704;
@400000005e26aec208473b56 #d,-,18,2456,2332,1146,275,1,251841,15614,2456,2334,1161,2456,2332,1139,90,100,0,500,2718;
@400000005e26aec40853970a #d,-,18,2455,2333,1143,276,1,251574,15597,2456,2333,1146,2455,2331,1139,90,100,0,500,2706;
@400000005e26aec4085c2671 #d,-,18,2455,2332,1145,277,1,251309,15581,2455,2335,1148,2455,2332,1137,90,100,0,500,2711;
@400000005e26aec6086b792c #d,-,18,2454,2333,1142,277,1,251045,15564,2455,2333,1145,2454,2331,1136,90,100,0,500,2706;
@400000005e26aec60874e281 #d,-,18,2830,2330,1405,278,1,251011,15562,2830,2333,1818,2454,2329,1140,96,100,0,500,2926;
@400000005e26aec808839c80 #d,-,18,3563,2328,1762,279,1,251083,15567,3563,2330,1789,2830,2327,1369,94,100,0,500,3758;
@400000005e26aec8088cead2 #d,-,18,3882,2329,1730,280,1,251188,15573,3882,2329,1762,3563,2327,1707,95,100,0,500,4045;
@400000005e26aeca089c069b #d,-,18,3887,2327,1744,281,1,251381,15585,3887,2330,1744,3882,2327,1725,94,100,0,500,4092;
@400000005e26aeca08a5edaa #d,-,18,3892,2327,1746,283,1,251488,15592,3892,2328,1746,3887,2327,1725,95,100,0,500,4088;
@400000005e26aecc08b4e9c8 #d,-,18,3896,2329,1732,284,1,251507,15593,3896,2329,1746,3892,2326,1722,95,100,0,500,4085;
@400000005e26aecc08be4436 #d,-,18,3900,2328,1739,285,1,251697,15605,3900,2329,1746,3896,2328,1720,95,100,0,500,4085;
@400000005e26aece08cd862e #d,-,18,3904,2328,1727,286,1,251714,15606,3904,2329,1746,3900,2327,1723,95,100,0,500,4088;
@400000005e26aece08d6cd0d #d,-,18,3908,2329,1748,287,1,251821,15612,3908,2330,1748,3904,2328,1727,95,100,0,500,4097;
@400000005e26aed008e5d900 #d,-,18,3912,2331,1748,288,1,251927,15619,3912,2331,1752,3908,2328,1732,95,100,0,500,4107;
@400000005e26aed008ef3728 #d,-,18,3916,2330,1748,289,1,252035,15626,3916,2331,1757,3912,2330,1736,95,100,0,500,4102;
@400000005e26aed208fe272b #d,-,18,3920,2329,1746,290,1,252141,15632,3920,2330,1757,3916,2328,1735,95,100,0,500,4109;
@400000005e26aed209077a26 #d,-,18,3924,2328,1739,291,1,252245,15639,3924,2329,1751,3920,2328,1731,95,100,0,500,4116;
@400000005e26aed409163b98 #d,-,18,3927,2330,1750,292,1,252349,15645,3927,2330,1750,3924,2327,1734,95,100,0,500,4102;
@400000005e26aed4092007a5 #d,-,18,3930,2330,1752,294,1,252458,15652,3930,2331,1758,3927,2330,1746,95,100,0,500,4111;
@400000005e26aed6092ed08a #d,-,18,3935,2329,1754,295,1,252565,15659,3935,2331,1757,3930,2329,1744,95,100,0,500,4128;
@400000005e26aed609383713 #d,-,18,3938,2329,1752,296,1,252671,15665,3938,2329,1758,3935,2328,1745,95,100,0,500,4121;
@400000005e26aed8094755a7 #d,-,18,3942,2330,1742,297,1,252777,15672,3942,2330,1760,3938,2328,1742,95,100,0,500,4130;
@400000005e26aed80950a8a2 #d,-,18,3945,2331,1754,298,1,252882,15678,3945,2331,1757,3942,2329,1737,95,100,0,500,4126;
@400000005e26aeda095fafed #d,-,18,3948,2332,1748,299,1,252989,15685,3948,2332,1764,3945,2330,1746,95,100,0,500,4128;
@400000005e26aeda0969264c #d,-,18,3950,2333,1760,300,1,253093,15691,3950,2333,1763,3948,2331,1732,95,100,0,500,4126;
@400000005e26aedc0978648a #d,-,18,3953,2334,1746,301,1,253195,15698,3953,2334,1760,3950,2333,1744,95,100,0,500,4126;
@400000005e26aedc0981b3cb #d,-,18,3954,2333,1750,302,1,253298,15704,3954,2334,1759,3953,2332,1744,95,100,0,500,4128;
@400000005e26aede099097b2 #d,-,18,3956,2334,1755,303,1,253401,15710,3956,2334,1759,3954,2332,1745,95,100,0,500,4133;
@400000005e26aede099a7b08 #d,-,18,3958,2332,1752,304,1,253503,15717,3958,2335,1761,3956,2332,1744,95,100,0,500,4135;
@400000005e26aee009a9b58c #d,-,18,3959,2333,1757,305,1,253605,15723,3959,2335,1758,3958,2332,1740,95,100,0,500,4126;
@400000005e26aee009b313b4 #d,-,18,3960,2332,1749,307,1,253705,15729,3960,2334,1759,3959,2331,1740,95,100,0,500,4126;
@400000005e26aee209c26a28 #d,-,18,3962,2331,1759,308,1,253807,15736,3962,2333,1764,3960,2330,1745,95,100,0,500,4130;
@400000005e26aee209cbb4c2 #d,-,18,3965,2333,1759,309,1,253910,15742,3965,2333,1765,3962,2331,1750,95,100,0,500,4142;
@400000005e26aee409da00db #d,-,18,3967,2333,1761,310,1,254012,15748,3967,2333,1767,3965,2331,1750,95,100,0,500,4147;
@400000005e26aee409e3b59f #d,-,18,3969,2332,1760,311,1,254194,15760,3969,2334,1766,3967,2331,1752,95,100,0,500,4145;
@400000005e26aee609f31653 #d,-,18,3971,2333,1756,312,1,254215,15761,3971,2333,1763,3969,2330,1755,95,100,0,500,4142;
@400000005e26aee609fc8096 #d,-,18,3973,2335,1760,313,1,254395,15772,3973,2335,1764,3971,2331,1753,95,100,0,500,4145;
@400000005e26aee80a0c0d0f #d,-,18,3975,2329,1759,314,1,254495,15778,3975,2335,1769,3973,2324,1756,95,100,0,500,4149;
@400000005e26aee80a155035 #d,-,18,3976,2333,1762,315,1,254516,15780,3976,2335,1767,3975,2329,1754,95,100,0,500,4147;
@400000005e26aeea0a242535 #d,-,18,3978,2329,1763,317,1,254616,15786,3978,2333,1766,3976,2327,1754,95,100,0,500,4152;
@400000005e26aeea0a2d96ec #d,-,18,3980,2331,1770,318,1,254717,15792,3980,2332,1772,3978,2329,1758,95,100,0,500,4147;
@400000005e26aeec0a3caa52 #d,-,18,3983,2332,1763,319,1,254818,15798,3983,2332,1770,3980,2330,1759,95,100,0,500,4161;
@400000005e26aeec0a45f994 #d,-,18,3985,2330,1761,320,1,254918,15804,3985,2333,1773,3983,2330,1761,95,100,0,500,4159;
@400000005e26aeee0a549f15 #d,-,18,3987,2332,1772,321,1,255018,15811,3987,2332,1772,3985,2330,1761,95,100,0,500,4164;
@400000005e26aeee0a5e5020 #d,-,18,3989,2330,1762,322,2,255117,15817,3989,2332,1772,3987,2330,1762,95,100,0,500,4159;
@400000005e26aef00a6d28da #d,-,18,3990,2332,1772,323,2,255216,15823,3990,2332,1773,3989,2330,1761,95,100,0,500,4161;
@400000005e26aef00a768f64 #d,-,18,3992,2331,1762,324,2,255313,15829,3992,2332,1772,3990,2330,1759,95,100,0,500,4161;
@400000005e26aef20a851181 #d,-,18,3993,2332,1764,325,2,255410,15835,3993,2334,1771,3992,2330,1760,96,100,0,500,4159;
@400000005e26aef20a8ee502 #d,-,18,3994,2332,1768,327,2,255507,15841,3994,2333,1771,3993,2330,1762,96,100,0,500,4159;
@400000005e26aef40a9daed5 #d,-,18,3995,2331,1761,328,2,255602,15847,3995,2334,1774,3994,2330,1760,95,100,0,500,4164;
@400000005e26aef40aa710b7 #d,-,18,3995,2332,1768,329,2,255699,15853,3995,2333,1772,3995,2330,1759,96,100,0,500,4156;
@400000005e26aef60ab6400e #d,-,18,3995,2331,1763,330,2,255792,15859,3995,2333,1773,3995,2331,1759,96,100,0,500,4159;
@400000005e26aef60abf8245 #d,-,18,3997,2332,1769,331,2,255964,15869,3997,2333,1773,3995,2330,1762,96,100,0,500,4161;
@400000005e26aef80ace1526 #d,-,18,3998,2330,1775,332,2,255984,15871,3998,2332,1776,3997,2330,1766,96,100,0,500,4164;
@400000005e26aef80ad7e133 #d,-,18,4000,2331,1771,333,2,256081,15877,4000,2332,1779,3998,2330,1768,95,100,0,500,4178;
@400000005e26aefa0ae6c9c2 #d,-,18,4002,2332,1777,334,2,256176,15882,4002,2332,1778,4000,2330,1764,95,100,0,500,4175;
@400000005e26aefa0af03406 #d,-,18,4003,2332,1770,335,2,256270,15888,4003,2332,1777,4002,2330,1764,95,100,0,500,4171;
@400000005e26aefc0afef489 #d,-,18,4005,2331,1777,337,2,256366,15894,4005,2333,1777,4003,2330,1767,95,100,0,500,4175;
@400000005e26aefc0b08bcdd #d,-,18,4006,2333,1768,338,2,256459,15900,4006,2333,1777,4005,2330,1766,96,100,0,500,4171;
@400000005e26aefe0b180736 #d,-,18,4007,2332,1774,339,2,256552,15906,4007,2334,1778,4006,2331,1766,96,100,0,500,4173;
@400000005e26aefe0b217179 #d,-,18,4008,2333,1776,340,2,256720,15916,4008,2334,1779,4007,2331,1770,96,100,0,500,4175;
@400000005e26af000b3093c6 #d,-,18,4009,2331,1768,341,2,256812,15922,4009,2333,1776,4008,2330,1766,96,100,0,500,4175;
@400000005e26af000b39d6ec #d,-,18,4010,2330,1776,342,2,256830,15923,4010,2332,1777,4009,2330,1767,96,100,0,500,4175;
@400000005e26af020b4879a2 #d,-,18,4011,2331,1769,343,2,256922,15929,4011,2332,1778,4010,2329,1767,96,100,0,500,4175;
@400000005e26af020b52487b #d,-,18,4011,2330,1774,344,2,257012,15934,4011,2331,1776,4011,2329,1767,96,100,0,500,4175;
@400000005e26af040b60e777 #d,-,18,4012,2331,1772,345,2,257102,15940,4012,2331,1775,4011,2329,1767,96,100,0,500,4168;
@400000005e26af040b6a9794 #d,-,18,4012,2330,1771,347,2,257192,15945,4012,2332,1775,4012,2329,1766,96,100,0,500,4173;
@400000005e26af060b7a17f1 #d,-,18,4012,2330,1772,348,2,257280,15951,4012,2331,1778,4012,2329,1764,96,100,0,500,4173;
@400000005e26af060b835b17 #d,-,18,4012,2328,1772,349,2,257369,15956,4012,2331,1778,4012,2328,1767,96,100,0,500,4166;
@400000005e26af080b924c08 #d,-,18,4012,2330,1775,350,2,257530,15966,4012,2330,1779,4012,2328,1769,96,100,0,500,4171;
@400000005e26af080b9bb1a3 #d,-,18,4013,2328,1769,351,2,257618,15972,4013,2330,1778,4012,2327,1769,96,100,0,500,4178;
@400000005e26af0a0baaa64e #d,-,18,4013,2330,1773,352,2,257632,15973,4013,2331,1780,4013,2328,1769,96,100,0,500,4175;
@400000005e26af0a0bb3f0e7 #d,-,18,4013,2329,1776,353,2,257719,15978,4013,2330,1778,4013,2328,1767,96,100,0,500,4173;
@400000005e26af0c0bc23d00 #d,-,18,4014,2331,1770,354,2,257804,15983,4014,2332,1776,4013,2328,1767,96,100,0,500,4173;
@400000005e26af0c0bcbda7c #d,-,18,4013,2329,1775,356,2,257890,15989,4014,2331,1778,4013,2329,1766,96,100,0,500,4171;
@400000005e26af0e0bdaca7f #d,-,18,4013,2329,1772,357,2,257975,15994,4013,2331,1779,4013,2329,1767,96,100,0,500,4171;
@400000005e26af0e0be42133 #d,-,18,4014,2331,1774,358,2,258060,15999,4014,2331,1777,4013,2328,1767,96,100,0,500,4173;
@400000005e26af100bf2c2fb #d,-,18,4014,2329,1773,359,2,258144,16004,4014,2331,1779,4014,2328,1768,96,100,0,500,4173;
@400000005e26af100bfc77c0 #d,-,18,4014,2329,1776,360,2,258228,16010,4014,2330,1780,4014,2328,1767,96,100,0,500,4171;
@400000005e26af120c0ba9e2 #d,-,18,4014,2327,1775,361,2,258382,16019,4014,2330,1777,4014,2326,1770,96,100,0,500,4175;
@400000005e26af120c1517df #d,-,18,4014,2326,1776,362,2,258394,16020,4014,2327,1779,4014,2323,1770,96,100,0,500,4171;
@400000005e26af140c245263 #d,-,18,4014,2326,1780,363,2,258477,16025,4014,2326,1781,4014,2325,1774,96,100,0,500,4173;
@400000005e26af140c2d9943 #d,-,18,4015,2327,1775,364,2,258560,16030,4015,2328,1781,4014,2326,1773,96,100,0,500,4180;
@400000005e26af160c3c2c23 #d,-,18,4015,2327,1777,366,2,258642,16035,4015,2327,1781,4015,2326,1772,96,100,0,500,4178;
@400000005e26af160c45a194 #d,-,18,4015,2328,1775,367,2,258794,16045,4015,2328,1780,4015,2326,1771,96,100,0,500,4173;
@400000005e26af180c54a9cd #d,-,18,4015,2325,1774,368,2,258875,16050,4015,2328,1782,4015,2325,1770,96,100,0,500,4175;
@400000005e26af180c5df466 #d,-,18,4016,2327,1776,369,2,258955,16055,4016,2328,1778,4015,2325,1769,96,100,0,500,4175;
@400000005e26af1a0c6c57c8 #d,-,18,4016,2327,1773,370,2,258965,16055,4016,2328,1778,4016,2327,1769,96,100,0,500,4171;
@400000005e26af1a0c760c8d #d,-,18,4016,2328,1780,371,2,259115,16065,4016,2328,1780,4016,2327,1768,96,100,0,500,4171;
@400000005e26af1c0c8513d8 #d,-,18,4016,2325,1770,372,2,259193,16070,4016,2328,1780,4016,2325,1770,96,100,0,500,4173;
@400000005e26af1c0c8e7200 #d,-,18,4016,2326,1783,373,2,259204,16070,4016,2326,1785,4016,2324,1770,96,100,0,500,4173;
@400000005e26af1e0c9d6e1e #d,-,18,4018,2327,1785,374,2,259286,16075,4018,2327,1789,4016,2325,1777,95,100,0,500,4187;
@400000005e26af1e0ca6bd5f #d,-,18,4019,2326,1780,376,2,259365,16080,4019,2327,1786,4018,2325,1774,95,100,0,500,4190;
@400000005e26af200cb572b5 #d,-,18,4020,2327,1785,377,2,259446,16085,4020,2327,1786,4019,2326,1773,96,100,0,500,4183;
@400000005e26af200cbee0b2 #d,-,18,4022,2327,1776,378,2,259525,16090,4022,2327,1785,4020,2325,1776,96,100,0,500,4187;
@400000005e26af220cce0034 #d,-,18,4023,2328,1783,379,2,259605,16095,4023,2328,1784,4022,2326,1774,96,100,0,500,4187;
