@400000005e843a8406488cee #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e843a8430353b5f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843b41041d5458 #d,-,18,3687,2375,1539,153,0,212219,13157,3687,2375,1613,3006,2370,1453,98,100,0,500,3755;
@400000005e843b43042c4cbc #d,-,18,3691,2373,1499,155,0,212517,13176,3691,2376,1678,3687,2371,1424,99,100,0,500,3714;
@400000005e843b430435b611 #d,-,18,3623,2373,1514,156,0,212862,13197,3691,2374,1623,3623,2372,1435,98,100,0,500,3668;
@400000005e843b45044416a7 #d,-,18,3767,2374,1451,157,0,213036,13208,3767,2374,1664,3623,2372,1451,99,100,0,500,3792;
@400000005e843b45044d58de #d,-,18,3593,2372,1650,158,0,213288,13223,3767,2375,1650,3593,2372,1428,99,100,0,500,3620;
@400000005e843b47045bd831 #d,-,18,3752,2374,1457,159,0,213546,13239,3752,2374,1668,3593,2372,1453,98,100,0,500,3799;
@400000005e843b470465f9ec #d,-,18,3593,2374,1108,160,0,213639,13245,3752,2375,1622,3593,2372,1106,98,100,0,500,3636;
@400000005e843b490476bf52 #d,-,18,2720,2374,1185,160,0,213550,13240,3593,2376,1187,2720,2374,1108,96,100,0,500,2833;
@400000005e843b490480ffc9 #d,-,18,2723,2372,1153,161,1,213454,13234,2723,2374,1185,2720,2372,1152,97,100,0,500,2781;
@400000005e843b4b0490d6c4 #d,-,18,2722,2373,1154,162,1,213360,13228,2723,2376,1157,2722,2372,1153,99,100,0,500,2749;
@400000005e843b4b049bdacf #d,-,18,2721,2374,1157,163,1,213266,13222,2722,2374,1157,2721,2372,1153,98,100,0,500,2749;
@400000005e843b4d04abe05b #d,-,18,2722,2371,1156,163,1,213289,13223,2722,2376,1184,2721,2371,1154,98,100,0,500,2753;
@400000005e843b4d04b657c5 #d,-,18,2723,2374,1156,164,1,213195,13218,2723,2375,1156,2722,2371,1149,98,100,0,500,2771;
@400000005e843b4f04c70229 #d,-,18,2722,2374,1154,165,1,212996,13205,2723,2377,1156,2722,2374,1153,99,100,0,500,2749;
@400000005e843b4f04d1562f #d,-,18,2721,2376,1155,166,1,212906,13200,2722,2376,1155,2721,2374,1154,98,100,0,500,2749;
@400000005e843b5104e2044c #d,-,18,2720,2374,1154,166,1,212815,13194,2721,2376,1155,2720,2374,1152,98,100,0,500,2749;
@400000005e843b5104ec86e3 #d,-,18,2720,2374,1168,167,1,212736,13189,2720,2376,1183,2720,2373,1154,98,100,0,500,2748;
@400000005e843b5304fca85f #d,-,18,2722,2376,1154,168,1,212646,13184,2722,2376,1168,2720,2373,1146,98,100,0,500,2771;
@400000005e843b5305075e30 #d,-,18,2721,2373,1154,169,1,212558,13178,2722,2376,1155,2721,2373,1152,98,100,0,500,2749;
@400000005e843b5505181fdc #d,-,18,2720,2375,1155,169,1,212574,13179,2721,2375,1155,2720,2373,1153,98,100,0,500,2748;
@400000005e843b550522f556 #d,-,18,2719,2372,1155,170,1,212487,13174,2720,2375,1156,2719,2370,1153,98,100,0,500,2748;
@400000005e843b570533b9cd #d,-,18,2719,2372,1181,171,1,212309,13163,2719,2374,1183,2719,2371,1153,98,100,0,500,2748;
@400000005e843b57053e60b7 #d,-,18,2721,2375,1156,172,1,212225,13157,2721,2375,1181,2719,2371,1148,98,100,0,500,2774;
@400000005e843b59054f28e8 #d,-,18,2721,2371,1156,172,1,212140,13152,2721,2375,1156,2721,2371,1152,99,100,0,500,2748;
@400000005e843b59055962db #d,-,18,2720,2374,1155,173,1,212057,13147,2721,2374,1156,2720,2371,1154,98,100,0,500,2749;
@400000005e843b5b05698f84 #d,-,18,2719,2374,1153,174,1,211975,13142,2720,2375,1156,2719,2373,1153,99,100,0,500,2746;
@400000005e843b5b05746c71 #d,-,18,2718,2376,1181,175,1,211900,13137,2719,2376,1181,2718,2373,1152,98,100,0,500,2746;
@400000005e843b5d05838b05 #d,-,18,2902,2372,1644,175,1,212075,13148,2902,2376,1675,2718,2371,1155,100,100,0,500,2902;
@400000005e843b5d058d08d7 #d,-,18,3749,2373,1589,177,1,212289,13161,3749,2374,1644,2902,2372,1440,98,100,0,500,3798;
@400000005e843b5f059c6a79 #d,-,18,3651,2374,1571,178,1,212647,13184,3749,2374,1665,3651,2370,1427,100,100,0,500,3651;
@400000005e843b5f05a58ee3 #d,-,18,3652,2372,1444,178,1,212850,13196,3652,2374,1620,3651,2371,1444,98,100,0,500,3718;
@400000005e843b6105b3c2c5 #d,-,18,3770,2373,1499,180,1,213018,13207,3770,2373,1667,3652,2370,1443,99,100,0,500,3778;
@400000005e843b6105bdc5c5 #d,-,18,3633,2370,1600,181,1,213229,13220,3770,2373,1617,3633,2370,1429,99,100,0,500,3666;
@400000005e843b6305ce198b #d,-,18,3775,2369,1465,182,1,213472,13235,3775,2371,1674,3633,2368,1465,99,100,0,500,3808;
@400000005e843b6305d88121 #d,-,18,3623,2373,1103,183,1,213577,13241,3775,2373,1622,3623,2368,1103,99,100,0,500,3653;
@400000005e843b6505e6cd3a #d,-,18,2789,2370,1168,183,1,213500,13237,3623,2374,1183,2789,2370,1103,95,100,0,500,2920;
@400000005e843b6505f11613 #d,-,18,2737,2372,1181,184,1,213422,13232,2789,2374,1181,2737,2369,1148,98,100,0,500,2774;
@400000005e843b6705ff6e47 #d,-,18,2740,2369,1160,185,1,213347,13227,2740,2373,1187,2737,2369,1154,97,100,0,500,2796;
@400000005e843b67060a5751 #d,-,18,2738,2374,1159,186,1,213363,13228,2740,2374,1163,2738,2368,1159,99,100,0,500,2757;
@400000005e843b6906191c7c #d,-,18,2737,2373,1162,186,1,213191,13217,2738,2374,1163,2737,2371,1159,99,100,0,500,2762;
@400000005e843b6906238c73 #d,-,18,2735,2374,1160,187,1,213114,13213,2737,2374,1162,2735,2372,1160,99,100,0,500,2762;
@400000005e843b6b0630f63c #d,-,18,2735,2372,1164,188,1,213037,13208,2735,2374,1164,2735,2371,1159,99,100,0,500,2760;
@400000005e843b6b06390c91 #d,-,18,2737,2374,1158,189,1,212968,13204,2737,2374,1188,2735,2372,1153,98,100,0,500,2787;
@400000005e843b6d06493cf3 #d,-,18,2735,2372,1160,189,1,212893,13199,2737,2374,1162,2735,2372,1158,99,100,0,500,2760;
@400000005e843b6d06540a0c #d,-,18,2734,2374,1159,190,1,212817,13194,2735,2374,1161,2734,2372,1158,99,100,0,500,2760;
@400000005e843b6f0664910c #d,-,18,2733,2370,1159,191,1,212742,13190,2734,2374,1161,2733,2370,1158,99,100,0,500,2758;
@400000005e843b6f066f04bc #d,-,18,2732,2371,1161,192,1,212758,13191,2733,2372,1161,2732,2369,1159,99,100,0,500,2758;
@400000005e843b71067fcddc #d,-,18,2734,2368,1154,192,1,212601,13181,2734,2372,1188,2732,2367,1152,98,100,0,500,2778;
@400000005e843b71068a259c #d,-,18,2733,2370,1162,193,1,212619,13182,2734,2371,1164,2733,2367,1154,98,100,0,500,2764;
@400000005e843b73069a2b27 #d,-,18,2732,2368,1162,194,1,212546,13177,2733,2371,1162,2732,2367,1160,99,100,0,500,2758;
@400000005e843b7306a50903 #d,-,18,2731,2373,1158,195,1,212384,13167,2732,2373,1162,2731,2367,1158,99,100,0,500,2758;
@400000005e843b7506b57059 #d,-,18,2730,2371,1158,195,1,212312,13163,2731,2373,1160,2730,2371,1158,99,100,0,500,2757;
@400000005e843b7506bff3df #d,-,18,2732,2373,1159,196,1,212250,13159,2732,2373,1188,2730,2371,1158,98,100,0,500,2771;
@400000005e843b7706d0b49c #d,-,18,2733,2372,1159,197,1,212181,13155,2733,2374,1165,2732,2371,1157,98,100,0,500,2778;
@400000005e843b7706db1c31 #d,-,18,2731,2373,1159,198,1,212110,13150,2733,2373,1160,2731,2371,1157,99,100,0,500,2757;
@400000005e843b7906ea5b5d #d,-,18,2808,2369,1658,199,1,212241,13158,2808,2373,1677,2731,2368,1158,100,100,0,500,2808;
@400000005e843b7906f3864c #d,-,18,3785,2370,1590,200,1,212523,13176,3785,2371,1658,2808,2368,1457,99,100,0,500,3810;
@400000005e843b7b07022cbc #d,-,18,3635,2368,1596,201,1,212761,13191,3785,2371,1681,3635,2367,1461,100,100,0,500,3635;
@400000005e843b7b070b7755 #d,-,18,3693,2369,1531,202,1,212862,13197,3693,2369,1613,3635,2364,1472,98,100,0,500,3758;
@400000005e843b7d071a639e #d,-,18,3746,2368,1508,203,1,213089,13211,3746,2369,1665,3693,2366,1452,100,100,0,500,3746;
@400000005e843b7d07240c47 #d,-,18,3608,2365,1527,204,1,213264,13222,3746,2368,1623,3608,2360,1449,98,100,0,500,3652;
@400000005e843b7f0731fef8 #d,-,18,3779,2363,1465,205,1,213485,13236,3779,2367,1678,3608,2362,1465,99,100,0,500,3798;
@400000005e843b7f073cf7d7 #d,-,18,3632,2362,1152,206,1,213603,13243,3779,2364,1632,3632,2361,1152,99,100,0,500,3659;
@400000005e843b81074de36b #d,-,18,2853,2365,1161,206,1,213521,13238,3632,2365,1168,2853,2362,1109,95,100,0,500,2993;
@400000005e843b8107587a80 #d,-,18,2713,2365,1200,207,1,213450,13233,2853,2366,1200,2713,2364,1148,98,100,0,500,2748;
@400000005e843b83076975ea #d,-,18,2718,2367,1154,208,1,213380,13229,2718,2367,1202,2713,2365,1153,97,100,0,500,2790;
@400000005e843b830773de6d #d,-,18,2718,2369,1160,209,1,213309,13225,2718,2369,1169,2718,2367,1154,98,100,0,500,2749;
@400000005e843b850784ab46 #d,-,18,2719,2368,1183,209,1,213248,13221,2719,2370,1192,2718,2367,1158,98,100,0,500,2760;
@400000005e843b85078ef331 #d,-,18,2723,2368,1162,210,1,213177,13217,2723,2369,1183,2719,2367,1156,97,100,0,500,2787;
@400000005e843b8707a021d4 #d,-,18,2724,2368,1168,211,1,213110,13212,2724,2369,1168,2723,2368,1162,98,100,0,500,2760;
@400000005e843b8707aa633a #d,-,18,2725,2368,1166,212,1,213044,13208,2725,2371,1168,2724,2367,1164,98,100,0,500,2767;
@400000005e843b8907ba6064 #d,-,18,2727,2370,1167,212,1,212980,13204,2727,2371,1169,2725,2367,1166,98,100,0,500,2769;
@400000005e843b8907c593ef #d,-,18,2728,2370,1189,213,1,212919,13200,2728,2371,1189,2727,2368,1162,98,100,0,500,2771;
@400000005e843b8b07d704b1 #d,-,18,2730,2370,1161,214,1,212851,13196,2730,2371,1189,2728,2368,1154,98,100,0,501,2780;
@400000005e843b8b07e170ef #d,-,18,2729,2369,1161,215,1,212865,13197,2730,2370,1163,2729,2367,1160,98,100,0,501,2757;
@400000005e843b8d07f2453b #d,-,18,2728,2371,1158,215,1,212716,13188,2729,2372,1163,2728,2367,1158,99,100,0,501,2755;
@400000005e843b8d07fcbd94 #d,-,18,2727,2372,1160,216,1,212650,13184,2728,2372,1160,2727,2370,1157,98,100,0,501,2755;
@400000005e843b8f080dc8d3 #d,-,18,2727,2370,1188,217,1,212588,13180,2727,2372,1188,2727,2368,1158,98,100,0,500,2755;
@400000005e843b8f081811ac #d,-,18,2729,2369,1161,218,1,212605,13181,2729,2370,1189,2727,2367,1154,98,100,0,500,2781;
@400000005e843b910828c64e #d,-,18,2728,2367,1161,218,1,212460,13172,2729,2370,1162,2728,2367,1159,99,100,0,500,2755;
@400000005e843b91083307b4 #d,-,18,2728,2367,1161,219,1,212395,13168,2728,2369,1162,2728,2366,1160,98,100,0,500,2757;
@400000005e843b9308430986 #d,-,18,2727,2368,1161,220,1,212331,13164,2728,2368,1162,2727,2366,1160,98,100,0,500,2755;
@400000005e843b93084e483e #d,-,18,2726,2366,1183,221,1,212271,13160,2727,2368,1183,2726,2366,1160,98,100,0,500,2755;
@400000005e843b950859119d #d,-,18,2730,2362,1686,222,1,212332,13164,2730,2366,1686,2726,2361,1157,98,100,0,500,2785;
@400000005e843b95085e8c2f #d,-,18,3717,2358,1495,223,1,212511,13175,3717,2363,1687,2730,2358,1459,100,100,0,500,3717;
@400000005e843b970865cb61 #d,-,18,3538,2361,1652,224,1,212712,13188,3717,2362,1668,3538,2358,1416,98,100,0,500,3593;
@400000005e843b970869850d #d,-,18,3750,2359,1608,225,1,212880,13198,3750,2363,1652,3538,2358,1456,99,100,0,500,3769;
@400000005e843b990876d2e6 #d,-,18,3591,2363,1642,226,1,213164,13216,3750,2363,1678,3591,2359,1428,99,100,0,500,3600;
@400000005e843b99088040e3 #d,-,18,3743,2364,1600,227,1,213338,13226,3743,2365,1642,3591,2363,1463,98,100,0,500,3799;
@400000005e843b9b0888e793 #d,-,18,3687,2366,1566,228,1,213460,13234,3743,2367,1674,3687,2363,1439,100,100,0,500,3687;
@400000005e843b9b088c8db0 #d,-,18,3681,2367,1426,229,1,213610,13243,3687,2367,1622,3681,2365,1426,99,100,0,500,3700;
@400000005e843b9d0894ab78 #d,-,18,3147,2368,1185,229,1,213540,13239,3681,2369,1426,3147,2367,1116,96,100,0,500,3269;
@400000005e843b9d08983e07 #d,-,18,2750,2369,1165,230,1,213554,13240,3147,2369,1194,2750,2367,1148,99,100,0,500,2774;
@400000005e843b9f08a1cac0 #d,-,18,2750,2369,1157,231,1,213421,13232,2750,2369,1201,2750,2366,1153,98,100,0,500,2783;
@400000005e843b9f08a7ca80 #d,-,18,2746,2368,1162,232,1,213357,13228,2750,2370,1163,2746,2367,1157,99,100,0,500,2755;
@400000005e843ba108b2495e #d,-,18,2743,2365,1162,232,1,213293,13224,2746,2368,1165,2743,2365,1162,99,100,0,500,2758;
@400000005e843ba108b81e47 #d,-,18,2741,2366,1164,233,1,213230,13220,2743,2369,1164,2741,2364,1160,99,100,0,500,2757;
@400000005e843ba308c33227 #d,-,18,2739,2364,1169,234,1,213169,13216,2741,2368,1171,2739,2364,1161,99,100,0,500,2757;
@400000005e843ba308c940ce #d,-,18,2742,2367,1165,235,1,213117,13213,2742,2369,1197,2739,2364,1164,98,100,0,500,2790;
@400000005e843ba508d4d535 #d,-,18,2742,2365,1170,235,1,213058,13209,2742,2368,1170,2742,2364,1165,98,100,0,500,2780;
@400000005e843ba508db8c6d #d,-,18,2741,2368,1168,236,1,213000,13206,2742,2370,1171,2741,2364,1166,98,100,0,500,2773;
@400000005e843ba708e6e9e1 #d,-,18,2740,2366,1161,237,1,212939,13202,2741,2369,1168,2740,2366,1159,99,100,0,500,2764;
@400000005e843ba708edb862 #d,-,18,2738,2366,1161,238,1,212878,13198,2740,2369,1162,2738,2366,1160,99,100,0,500,2758;
@400000005e843ba908fa6e6d #d,-,18,2738,2369,1155,238,1,212897,13199,2738,2369,1188,2738,2366,1155,99,100,0,500,2765;
@400000005e843ba909029496 #d,-,18,2737,2367,1161,239,1,212763,13191,2738,2369,1162,2737,2367,1154,98,100,0,500,2771;
@400000005e843bab091005d3 #d,-,18,2736,2369,1158,240,1,212703,13187,2737,2370,1163,2736,2367,1158,99,100,0,500,2757;
@400000005e843bab09180c52 #d,-,18,2734,2370,1160,241,1,212642,13183,2736,2370,1160,2734,2368,1158,99,100,0,500,2755;
@400000005e843bad09253b6f #d,-,18,2732,2369,1161,241,1,212583,13180,2734,2371,1163,2732,2366,1158,99,100,0,500,2753;
@400000005e843bad092e7722 #d,-,18,2732,2367,1160,242,1,212530,13176,2732,2370,1190,2732,2366,1159,98,100,0,500,2760;
@400000005e843baf093de7aa #d,-,18,2733,2367,1161,243,1,212471,13173,2733,2370,1162,2732,2365,1154,98,100,0,500,2776;
@400000005e843baf09474a7a #d,-,18,2731,2366,1160,244,1,212413,13169,2733,2370,1162,2731,2366,1159,99,100,0,500,2753;
@400000005e843bb109535439 #d,-,18,2730,2363,1592,245,1,212401,13168,2731,2369,1592,2730,2363,1159,99,100,0,500,2755;
@400000005e843bb1095a3649 #d,-,18,3529,2367,1479,246,1,212591,13180,3529,2368,1681,2730,2362,1479,100,100,0,500,3529;
@400000005e843bb3096374c7 #d,-,18,3621,2367,1672,247,1,212766,13191,3621,2368,1672,3529,2366,1444,99,100,0,500,3650;
@400000005e843bb3096800ee #d,-,18,3746,2368,1511,248,1,212993,13205,3746,2369,1672,3621,2366,1461,98,100,0,500,3799;
@400000005e843bb509762e4b #d,-,18,3575,2368,1653,249,1,213184,13217,3746,2368,1671,3575,2365,1445,98,100,0,500,3623;
@400000005e843bb5097fd33b #d,-,18,3759,2368,1624,250,1,213269,13222,3759,2369,1653,3575,2366,1445,99,100,0,500,3785;
@400000005e843bb7098f6e9a #d,-,18,3627,2367,1605,251,1,213452,13234,3759,2368,1667,3627,2366,1420,100,100,0,500,3627;
@400000005e843bb7099a05af #d,-,18,3632,2367,1606,252,1,213604,13243,3632,2368,1648,3627,2366,1452,97,100,0,500,3737;
@400000005e843bb909aabb40 #d,-,18,3308,2366,1157,252,1,213555,13240,3632,2371,1606,3308,2365,1104,96,100,0,500,3420;
@400000005e843bb909b54639 #d,-,18,2716,2367,1152,253,1,213500,13237,3308,2370,1187,2716,2366,1152,99,100,0,500,2733;
@400000005e843bbb09c616cb #d,-,18,2717,2366,1162,254,1,213442,13233,2717,2370,1167,2716,2365,1152,98,100,0,500,2765;
@400000005e843bbb09d050be #d,-,18,2718,2366,1161,255,1,213383,13229,2718,2369,1163,2717,2366,1160,98,100,0,500,2757;
@400000005e843bbd09e069d8 #d,-,18,2719,2367,1191,256,1,213330,13226,2719,2368,1191,2718,2364,1161,98,100,0,500,2758;
@400000005e843bbd09ebbfd8 #d,-,18,2723,2370,1162,256,1,213342,13227,2723,2370,1191,2719,2364,1157,97,100,0,500,2785;
@400000005e843bbf09fcb789 #d,-,18,2723,2370,1162,257,1,213285,13223,2723,2370,1162,2723,2367,1161,98,100,0,500,2758;
@400000005e843bbf0a073ec8 #d,-,18,2723,2368,1160,258,1,213159,13215,2723,2371,1162,2723,2368,1159,98,100,0,500,2757;
@400000005e843bc10a187125 #d,-,18,2723,2369,1161,259,1,213102,13212,2723,2371,1161,2723,2368,1159,98,100,0,500,2755;
@400000005e843bc10a22cd8d #d,-,18,2723,2368,1185,259,1,213049,13209,2723,2371,1185,2723,2368,1159,98,100,0,500,2757;
@400000005e843bc30a33b568 #d,-,18,2726,2370,1161,260,1,212995,13205,2726,2371,1188,2723,2368,1154,97,100,0,500,2785;
@400000005e843bc30a3ddf85 #d,-,18,2726,2371,1160,261,1,213006,13206,2726,2371,1161,2726,2369,1159,98,100,0,500,2755;
@400000005e843bc50a4ed37c #d,-,18,2725,2367,1160,262,1,212950,13202,2726,2371,1162,2725,2367,1159,98,100,0,500,2755;
@400000005e843bc50a58fcab #d,-,18,2725,2367,1162,262,1,212828,13195,2725,2369,1162,2725,2365,1160,98,100,0,500,2757;
@400000005e843bc70a69a266 #d,-,18,2725,2365,1176,263,1,212774,13192,2725,2369,1176,2725,2365,1160,98,100,0,500,2757;
@400000005e843bc70a7444a8 #d,-,18,2728,2367,1161,264,1,212724,13188,2728,2369,1191,2725,2364,1155,98,100,0,500,2783;
@400000005e843bc90a854100 #d,-,18,2727,2366,1161,265,1,212669,13185,2728,2369,1163,2727,2365,1158,99,100,0,500,2753;
@400000005e843bc90a8f914d #d,-,18,2726,2370,1160,265,1,212614,13182,2727,2370,1161,2726,2365,1159,99,100,0,500,2753;
@400000005e843bcb0aa06599 #d,-,18,2725,2371,1158,266,1,212560,13178,2726,2371,1160,2725,2367,1157,98,100,0,500,2753;
@400000005e843bcb0aaac5bb #d,-,18,2724,2371,1163,267,1,212506,13175,2725,2372,1163,2724,2370,1158,98,100,0,500,2753;
@400000005e843bcd0ab7f11e #d,-,18,2728,2368,1311,268,1,212466,13172,2728,2372,1311,2724,2368,1152,98,100,0,500,2780;
@400000005e843bcd0abf38b2 #d,-,18,3355,2369,1489,269,1,212646,13184,3355,2369,1679,2728,2367,1311,100,100,0,500,3355;
@400000005e843bcf0acb59b9 #d,-,18,3618,2366,1584,270,1,212842,13196,3618,2370,1599,3355,2366,1386,98,100,0,500,3661;
@400000005e843bcf0ad1a7b5 #d,-,18,3723,2371,1469,271,1,212941,13202,3723,2371,1666,3618,2366,1469,99,100,0,500,3758;
@400000005e843bd10adc49f6 #d,-,18,3623,2369,1669,272,1,213093,13211,3723,2371,1669,3623,2367,1389,98,100,0,500,3661;
@400000005e843bd10ae21df1 #d,-,18,3750,2366,1514,273,1,213246,13221,3750,2369,1673,3623,2365,1453,99,100,0,500,3787;
@400000005e843bd30aeb49ce #d,-,18,3547,2367,1655,274,1,213412,13231,3750,2368,1675,3547,2363,1393,97,100,0,500,3620;
@400000005e843bd30af04b4e #d,-,18,3769,2364,1591,275,1,213609,13243,3769,2367,1655,3547,2363,1436,99,100,0,500,3782;
@400000005e843bd50afb2482 #d,-,18,3447,2366,1150,276,1,213553,13240,3769,2368,1620,3447,2364,1115,97,100,0,500,3531;
@400000005e843bd50b018c91 #d,-,18,2677,2367,1147,276,1,213492,13236,3447,2369,1163,2677,2364,1141,97,100,0,500,2735;
@400000005e843bd70b0d2d13 #d,-,18,2680,2368,1180,277,1,213447,13233,2680,2370,1201,2677,2367,1144,98,100,0,500,2732;
@400000005e843bd70b142ecd #d,-,18,2752,2369,1152,278,1,213389,13230,2752,2369,1180,2680,2367,1150,98,100,0,500,2792;
@400000005e843bd90b1f985d #d,-,18,2746,2367,1158,279,1,213334,13226,2752,2369,1163,2746,2366,1152,100,100,0,500,2746;
@400000005e843bd90b26faf2 #d,-,18,2743,2368,1158,279,1,213279,13223,2746,2370,1159,2743,2367,1156,99,100,0,500,2749;
@400000005e843bdb0b3203a6 #d,-,18,2739,2369,1157,280,1,213225,13219,2743,2369,1159,2739,2367,1156,99,100,0,500,2751;
@400000005e843bdb0b38f49c #d,-,18,2738,2367,1155,281,1,213176,13216,2739,2369,1186,2738,2367,1155,99,100,0,500,2755;
@400000005e843bdd0b44c857 #d,-,18,2737,2369,1156,282,1,213122,13213,2738,2369,1160,2737,2367,1151,98,100,0,500,2767;
@400000005e843bdd0b4b403b #d,-,18,2734,2365,1156,282,1,213068,13210,2737,2369,1160,2734,2364,1156,99,100,0,500,2748;
@400000005e843bdf0b57a80b #d,-,18,2732,2367,1158,283,1,213014,13206,2734,2369,1159,2732,2365,1156,99,100,0,500,2748;
@400000005e843bdf0b5f2e04 #d,-,18,2729,2367,1157,284,1,212961,13203,2732,2369,1159,2729,2366,1155,99,100,0,500,2748;
@400000005e843be10b6ba963 #d,-,18,2728,2368,1166,285,1,212914,13200,2729,2368,1187,2728,2365,1157,99,100,0,500,2748;
@400000005e843be10b7447b0 #d,-,18,2728,2368,1157,285,1,212860,13197,2728,2368,1166,2728,2365,1151,98,100,0,500,2771;
@400000005e843be30b82ea66 #d,-,18,2727,2371,1156,286,1,212807,13194,2728,2371,1158,2727,2368,1156,99,100,0,500,2746;
@400000005e843be30b8bb833 #d,-,18,2725,2370,1156,287,1,212755,13190,2727,2371,1157,2725,2367,1155,99,100,0,500,2746;
@400000005e843be50b9ae2e2 #d,-,18,2723,2371,1157,288,1,212702,13187,2725,2371,1157,2723,2368,1155,99,100,0,500,2746;
@400000005e843be50ba55693 #d,-,18,2722,2371,1177,288,1,212656,13184,2723,2371,1184,2722,2369,1155,99,100,0,500,2744;
@400000005e843be70bb6236c #d,-,18,2723,2371,1155,289,1,212664,13185,2723,2371,1177,2722,2368,1149,98,100,0,500,2771;
@400000005e843be70bc0602a #d,-,18,2722,2371,1154,290,1,212552,13178,2723,2371,1156,2722,2369,1154,99,100,0,500,2744;
@400000005e843be90bd1be4c #d,-,18,2720,2371,1156,291,1,212500,13175,2722,2371,1157,2720,2369,1153,99,100,0,500,2744;
@400000005e843be90bdc8f1e #d,-,18,3000,2367,1597,292,1,212623,13182,3000,2371,1673,2720,2363,1155,100,100,0,500,3000;
@400000005e843beb0bed5fb1 #d,-,18,3665,2365,1583,293,1,212751,13190,3665,2368,1635,3000,2365,1459,98,100,0,500,3728;
@400000005e843beb0bf6c9f4 #d,-,18,3670,2366,1542,294,1,212904,13200,3670,2367,1670,3665,2362,1406,98,100,0,500,3709;
@400000005e843bed0c034db4 #d,-,18,3667,2363,1438,295,1,213019,13207,3670,2366,1619,3667,2362,1390,99,100,0,500,3691;
@400000005e843bed0c0a759e #d,-,18,3741,2363,1470,296,1,213177,13217,3741,2366,1674,3667,2362,1438,99,100,0,500,3764;
@400000005e843bef0c14c231 #d,-,18,3606,2366,1634,297,1,213303,13224,3741,2368,1634,3606,2363,1405,99,100,0,500,3637;
@400000005e843bef0c1aa247 #d,-,18,3747,2367,1490,298,1,213450,13233,3747,2367,1674,3606,2364,1486,98,100,0,500,3789;
@400000005e843bf10c29fb87 #d,-,18,3638,2368,1101,299,1,213509,13237,3747,2369,1624,3638,2367,1101,98,100,0,500,3675;
@400000005e843bf10c344cc2 #d,-,18,2744,2369,1153,299,1,213454,13234,3638,2369,1158,2744,2367,1101,95,100,0,500,2869;
@400000005e843bf30c448851 #d,-,18,2738,2367,1202,300,1,213465,13234,2744,2370,1202,2738,2366,1147,100,100,0,500,2738;
@400000005e843bf30c4f8d4b #d,-,18,2741,2370,1154,301,1,213357,13228,2741,2370,1202,2738,2366,1151,98,100,0,500,2792;
@400000005e843bf50c5f9e04 #d,-,18,2738,2369,1178,302,1,213311,13225,2741,2370,1178,2738,2368,1153,99,100,0,500,2749;
@400000005e843bf50c6ae164 #d,-,18,2740,2367,1165,302,1,213265,13222,2740,2370,1188,2738,2366,1155,98,100,0,500,2789;
@400000005e843bf70c7beca3 #d,-,18,2738,2369,1163,303,1,213216,13219,2740,2369,1165,2738,2365,1161,99,100,0,500,2758;
@400000005e843bf70c864463 #d,-,18,2736,2364,1163,304,1,213168,13216,2738,2369,1164,2736,2364,1160,99,100,0,500,2758;
@400000005e843bf90c972111 #d,-,18,2735,2367,1162,305,1,213120,13213,2736,2368,1164,2735,2364,1161,99,100,0,500,2758;
@400000005e843bf90ca18133 #d,-,18,2733,2367,1171,305,1,213130,13214,2735,2369,1171,2733,2364,1160,99,100,0,500,2757;
@400000005e843bfb0cb2a3ba #d,-,18,2736,2371,1159,306,1,213086,13211,2736,2371,1191,2733,2365,1156,98,100,0,500,2785;
@400000005e843bfb0cbcca1e #d,-,18,2733,2370,1160,307,1,212981,13204,2736,2371,1161,2733,2369,1159,99,100,0,500,2755;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
