@400000005e5624933687c794 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e56249424d87318 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e56254e33e56a2d #d,-,18,3719,2371,1623,177,1,248491,15406,3719,2373,1636,3719,2370,1623,95,100,0,500,3903;
@400000005e56255033f5648b #d,-,18,3719,2373,1632,178,1,248592,15412,3719,2374,1633,3719,2371,1616,95,100,0,500,3901;
@400000005e56255033ff5f29 #d,-,18,3720,2372,1628,179,1,248826,15427,3720,2374,1633,3719,2371,1618,95,100,0,500,3903;
@400000005e562552340f167a #d,-,18,3719,2374,1628,180,1,248923,15433,3720,2374,1635,3719,2372,1612,95,100,0,500,3896;
@400000005e5625523418e9fa #d,-,18,3719,2374,1620,181,1,248887,15431,3719,2375,1639,3719,2372,1616,95,100,0,500,3901;
@400000005e5625543429700b #d,-,18,3719,2374,1619,182,1,248982,15436,3719,2375,1640,3719,2373,1609,95,100,0,500,3898;
@400000005e5625543433d88f #d,-,18,3718,2374,1614,183,1,249074,15442,3719,2375,1641,3718,2373,1604,95,100,0,500,3896;
@400000005e56255634441c80 #d,-,18,3718,2375,1619,185,1,249167,15448,3718,2375,1636,3718,2373,1604,95,100,0,500,3898;
@400000005e562556344e8c77 #d,-,18,3718,2372,1630,186,1,249260,15454,3718,2375,1641,3718,2367,1608,95,100,0,500,3896;
@400000005e562558345e250c #d,-,18,3718,2370,1629,187,1,249480,15467,3718,2373,1642,3718,2369,1614,95,100,0,500,3898;
@400000005e5625583469600a #d,-,18,3718,2372,1641,188,1,249570,15473,3718,2372,1641,3718,2369,1614,95,100,0,500,3896;
@400000005e56255a34796595 #d,-,18,3718,2372,1634,189,1,249531,15470,3718,2372,1642,3718,2369,1610,95,100,0,500,3896;
@400000005e56255a34832587 #d,-,18,3718,2370,1625,190,1,249620,15476,3718,2372,1641,3718,2370,1615,95,100,0,500,3898;
@400000005e56255c349374a6 #d,-,18,3718,2372,1614,191,1,249706,15481,3718,2372,1637,3718,2370,1606,95,100,0,500,3903;
@400000005e56255c349d6b8a #d,-,18,3718,2371,1608,192,1,249792,15487,3718,2372,1634,3718,2369,1608,95,100,0,500,3893;
@400000005e56255e34ad49f8 #d,-,18,3718,2370,1620,193,1,249880,15492,3718,2372,1640,3718,2369,1608,95,100,0,500,3893;
@400000005e56255e34b6fb03 #d,-,18,3718,2369,1630,194,1,250089,15505,3718,2372,1638,3718,2369,1612,95,100,0,500,3896;
@400000005e56256034c6cd55 #d,-,18,3718,2370,1634,195,1,250174,15510,3718,2372,1641,3718,2369,1615,95,100,0,500,3893;
@400000005e56256034d0d055 #d,-,18,3717,2370,1631,196,1,250134,15508,3718,2372,1640,3717,2370,1617,95,100,0,501,3901;
@400000005e56256234e087a6 #d,-,18,3717,2372,1628,197,1,250216,15513,3717,2372,1636,3717,2370,1613,95,100,0,501,3898;
@400000005e56256234eaff10 #d,-,18,3718,2372,1627,198,1,250299,15518,3718,2372,1635,3717,2370,1618,95,100,0,501,3898;
@400000005e56256434fb4b63 #d,-,18,3718,2372,1612,199,1,250379,15523,3718,2373,1637,3718,2370,1612,95,100,0,501,3901;
@400000005e56256435058467 #d,-,18,3717,2372,1618,200,1,250579,15535,3718,2372,1637,3717,2369,1612,95,100,0,501,3896;
@400000005e56256635157dd7 #d,-,18,3717,2370,1624,201,1,250539,15533,3717,2372,1638,3717,2370,1613,95,100,0,501,3896;
@400000005e562566352072fc #d,-,18,3718,2370,1633,202,1,250619,15538,3718,2372,1636,3717,2370,1619,95,100,0,501,3896;
@400000005e56256835307026 #d,-,18,3718,2372,1634,203,1,250699,15543,3718,2373,1636,3718,2370,1617,95,100,0,501,3903;
@400000005e562568353b1356 #d,-,18,3719,2372,1637,204,1,250779,15548,3719,2373,1637,3718,2370,1613,95,100,0,501,3903;
@400000005e56256a354c2608 #d,-,18,3719,2371,1629,205,1,250855,15553,3719,2373,1637,3719,2370,1617,95,100,0,501,3901;
@400000005e56256a3557079e #d,-,18,3719,2369,1625,206,1,250931,15557,3719,2372,1637,3719,2369,1618,95,100,0,501,3898;
@400000005e56256c3567e806 #d,-,18,3719,2372,1626,207,1,251007,15562,3719,2372,1641,3719,2369,1614,95,100,0,501,3901;
@400000005e56256c3572e857 #d,-,18,3718,2371,1609,208,1,251077,15566,3719,2372,1633,3718,2370,1606,95,100,0,501,3896;
@400000005e56256e3583e77b #d,-,18,3718,2369,1619,209,1,251152,15571,3718,2372,1636,3718,2369,1609,95,100,0,501,3891;
@400000005e56256e358ee05a #d,-,18,3717,2368,1611,210,1,251222,15575,3718,2370,1637,3717,2367,1611,95,100,0,501,3893;
@400000005e56257035a0b6a0 #d,-,18,3714,2369,1467,211,1,251245,15577,3717,2369,1620,3714,2367,1467,95,100,0,501,3870;
@400000005e56257035abbf53 #d,-,18,3413,2370,1463,212,1,251180,15573,3714,2370,1483,3413,2368,1445,93,100,0,501,3635;
@400000005e56257035b43ee5 #d,-,18,3216,2369,1280,213,1,251004,15562,3413,2371,1463,3216,2368,1254,93,100,0,501,3455;
@400000005e56257235bf567f #d,-,18,2822,2369,1253,214,1,250893,15555,3216,2371,1288,2822,2368,1245,91,100,0,501,3078;
@400000005e56257235c4d885 #d,-,18,2822,2371,1428,215,1,250710,15544,2822,2371,1705,2822,2368,1253,92,100,0,501,3038;
@400000005e56257435d399f7 #d,-,18,3545,2371,1320,215,1,250604,15537,3545,2371,1587,2822,2368,1245,95,100,0,501,3694;
@400000005e56257435dd2b58 #d,-,18,2739,2373,1139,216,1,250289,15517,3545,2373,1326,2739,2369,1092,88,100,0,501,3095;
@400000005e56257635ec9827 #d,-,18,2505,2374,1145,217,1,249972,15498,2739,2374,1166,2505,2371,1134,90,100,0,501,2775;
@400000005e56257635f65907 #d,-,18,2502,2373,1139,217,1,249763,15485,2505,2374,1148,2502,2371,1134,90,100,0,501,2753;
@400000005e56257836057ffc #d,-,18,2498,2375,1137,218,1,249334,15458,2502,2375,1142,2498,2373,1133,90,100,0,501,2746;
@400000005e562578360f4ed5 #d,-,18,2494,2373,1140,219,1,249019,15439,2498,2375,1141,2494,2373,1135,90,100,0,501,2742;
@400000005e56257a361f1240 #d,-,18,2491,2373,1141,220,1,248706,15419,2494,2375,1143,2491,2372,1136,90,100,0,501,2746;
@400000005e56257a3628889f #d,-,18,2488,2372,1137,220,1,248396,15400,2491,2374,1142,2488,2372,1134,90,100,0,501,2744;
@400000005e56257c3637be7b #d,-,18,2485,2373,1138,221,1,248191,15387,2488,2374,1138,2485,2371,1129,90,100,0,501,2739;
@400000005e56257c3641adec #d,-,18,2482,2370,1136,222,1,247883,15368,2485,2373,1142,2482,2370,1132,90,100,0,501,2732;
@400000005e56257e36517158 #d,-,18,2479,2371,1139,222,1,247472,15343,2482,2373,1139,2479,2370,1133,90,100,0,500,2739;
@400000005e56257e365af69d #d,-,18,2477,2371,1132,223,1,247169,15324,2479,2371,1139,2477,2369,1132,90,100,0,500,2737;
@400000005e562580366a5fb3 #d,-,18,2475,2370,1140,224,1,246871,15306,2477,2372,1140,2475,2370,1130,90,100,0,500,2734;
@400000005e5625803673c282 #d,-,18,2473,2372,1131,224,1,246572,15287,2475,2372,1140,2473,2370,1131,90,100,0,500,2734;
@400000005e5625823682644a #d,-,18,2471,2369,1133,225,1,246275,15269,2473,2372,1138,2471,2369,1131,90,100,0,500,2732;
@400000005e562582368c3411 #d,-,18,2469,2371,1134,226,1,245982,15250,2471,2371,1138,2469,2369,1132,90,100,0,500,2730;
@400000005e562584369b3b5c #d,-,18,2467,2368,1131,226,1,245687,15232,2469,2371,1136,2467,2368,1129,90,100,0,500,2732;
@400000005e56258436a4c903 #d,-,18,2464,2370,1133,227,1,245497,15220,2467,2370,1136,2464,2368,1126,90,100,0,500,2720;
@400000005e56258636b391e8 #d,-,18,2462,2367,1131,228,1,245106,15196,2464,2370,1134,2462,2365,1127,90,100,0,500,2723;
@400000005e56258636bcf872 #d,-,18,2460,2369,1130,228,1,244819,15178,2462,2370,1136,2460,2367,1128,90,100,0,500,2720;
@400000005e56258836cc32f6 #d,-,18,2458,2368,1132,229,1,244534,15161,2460,2369,1136,2458,2367,1129,90,100,0,500,2723;
@400000005e56258836d5ff03 #d,-,18,2456,2370,1129,230,1,244251,15143,2458,2370,1134,2456,2368,1129,90,100,0,500,2723;
@400000005e56258a36e55bfd #d,-,18,2455,2370,1131,230,1,243970,15126,2456,2370,1135,2455,2368,1127,90,100,0,500,2723;
@400000005e56258a36eec640 #d,-,18,2453,2370,1126,231,1,243691,15108,2455,2370,1134,2453,2369,1126,90,100,0,500,2720;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
