@400000005e8c23820862be00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e8c2382324cc581 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c244105699ab1 #d,-,18,2738,2382,1161,155,0,212630,13183,2739,2382,1161,2738,2379,1158,99,100,0,501,2760;
@400000005e8c244305746056 #d,-,18,2737,2380,1162,156,0,212541,13177,2738,2382,1163,2737,2377,1158,99,100,0,501,2764;
@400000005e8c2443057f5cee #d,-,18,2737,2381,1173,157,0,212566,13179,2737,2382,1173,2737,2379,1158,99,100,0,501,2762;
@400000005e8c2445058f2413 #d,-,18,2740,2381,1159,157,0,212377,13167,2740,2383,1190,2737,2380,1151,98,100,0,501,2792;
@400000005e8c2445059997c4 #d,-,18,2738,2384,1158,158,0,212291,13162,2740,2384,1161,2738,2379,1157,99,100,0,501,2758;
@400000005e8c244705a348cf #d,-,18,2868,2381,1578,159,0,212464,13172,2868,2384,1668,2738,2380,1156,100,100,0,501,2868;
@400000005e8c244705aaf4f8 #d,-,18,3605,2382,1290,160,0,212561,13178,3605,2384,1578,2868,2380,1290,98,100,0,501,3668;
@400000005e8c244905b58853 #d,-,18,3032,2384,1174,161,1,212534,13177,3605,2384,1290,3032,2381,1174,98,100,0,501,3091;
@400000005e8c244905bb7bf8 #d,-,18,3361,2383,1437,162,1,212800,13193,3361,2384,1682,3032,2379,1174,100,100,0,501,3361;
@400000005e8c244b05c3ff43 #d,-,18,3355,2381,1238,163,1,212830,13195,3361,2383,1437,3355,2380,1238,98,100,0,502,3420;
@400000005e8c244b05c9761c #d,-,18,2872,2378,1627,164,1,212957,13203,3355,2383,1652,2872,2378,1169,98,100,0,502,2918;
@400000005e8c244d05d521cb #d,-,18,3677,2380,1287,165,1,213081,13211,3677,2382,1627,2872,2378,1287,100,100,0,502,3677;
@400000005e8c244d05daa878 #d,-,18,3041,2380,1259,165,1,213050,13209,3677,2382,1287,3041,2379,1168,97,100,0,501,3111;
@400000005e8c244f05e69735 #d,-,18,3379,2380,1437,166,1,213310,13225,3379,2382,1677,3041,2378,1259,100,100,0,501,3379;
@400000005e8c244f05ede283 #d,-,18,3293,2381,1234,167,1,213332,13226,3379,2382,1437,3293,2379,1234,96,100,0,501,3395;
@400000005e8c245105fbeb8d #d,-,18,2907,2377,1607,168,1,213570,13241,3293,2382,1651,2907,2377,1168,99,100,0,501,2926;
@400000005e8c24510606dcf8 #d,-,18,3660,2381,1291,169,1,213577,13241,3660,2381,1607,2907,2375,1291,99,100,0,501,3682;
@400000005e8c24530613b578 #d,-,18,3032,2379,1433,170,1,213558,13240,3660,2382,1433,3032,2379,1170,97,100,0,501,3104;
@400000005e8c2453061eaa9d #d,-,18,3406,2379,1425,171,1,213803,13255,3406,2381,1672,3032,2376,1425,100,100,0,501,3406;
@400000005e8c2455062f99ec #d,-,18,3277,2371,1232,172,1,213815,13256,3406,2381,1425,3277,2367,1232,97,100,0,501,3374;
@400000005e8c2455063aa659 #d,-,18,2947,2376,1582,173,1,213957,13265,3277,2381,1655,2947,2370,1172,100,100,0,501,2947;
@400000005e8c2457064a1f43 #d,-,18,3647,2378,1282,174,1,214054,13271,3647,2380,1582,2947,2376,1282,98,100,0,501,3693;
@400000005e8c2457065527f7 #d,-,18,3014,2377,1530,174,1,214050,13271,3647,2380,1530,3014,2375,1173,97,100,0,501,3086;
@400000005e8c24590665b1c2 #d,-,18,3441,2379,1418,175,1,214283,13285,3441,2379,1658,3014,2373,1418,100,100,0,501,3441;
@400000005e8c245906708f9e #d,-,18,3265,2381,1215,176,1,214287,13285,3441,2381,1418,3265,2377,1215,97,100,0,501,3356;
@400000005e8c245b06814ca2 #d,-,18,2842,2379,1142,177,1,214199,13280,3265,2381,1215,2842,2376,1140,98,100,0,501,2895;
@400000005e8c245b068beee3 #d,-,18,2737,2379,1151,178,1,214220,13281,2842,2380,1191,2737,2378,1142,99,100,0,501,2760;
@400000005e8c245d069c9d00 #d,-,18,2738,2380,1164,179,1,214045,13270,2738,2380,1187,2737,2376,1151,98,100,0,501,2787;
@400000005e8c245d06a71f98 #d,-,18,2739,2379,1178,179,1,214074,13272,2739,2381,1196,2738,2378,1162,98,100,0,501,2773;
@400000005e8c245f06b80fd5 #d,-,18,2742,2377,1165,180,1,213895,13261,2742,2381,1178,2739,2377,1162,97,100,0,501,2801;
@400000005e8c245f06c2873f #d,-,18,2742,2380,1165,181,1,213816,13256,2742,2380,1167,2742,2376,1162,98,100,0,501,2773;
@400000005e8c246106d2a501 #d,-,18,2743,2377,1165,182,1,213739,13251,2743,2380,1168,2742,2377,1163,98,100,0,501,2774;
@400000005e8c246106dda90d #d,-,18,2743,2379,1166,182,1,213661,13247,2743,2380,1168,2743,2376,1164,98,100,0,501,2774;
@400000005e8c246306ee94a1 #d,-,18,2743,2380,1191,183,1,213596,13242,2743,2380,1196,2743,2378,1165,98,100,0,501,2774;
@400000005e8c246306f93b8b #d,-,18,2746,2380,1166,184,1,213519,13238,2746,2380,1191,2743,2378,1158,98,100,0,501,2801;
@400000005e8c2465070a0c1e #d,-,18,2746,2378,1165,185,1,213444,13233,2746,2381,1166,2746,2378,1164,98,100,0,501,2774;
@400000005e8c246507148fa3 #d,-,18,2745,2379,1165,185,1,213369,13228,2746,2380,1166,2745,2377,1165,98,100,0,501,2774;
@400000005e8c246707256036 #d,-,18,2745,2379,1166,186,1,213295,13224,2745,2380,1166,2745,2378,1165,98,100,0,501,2774;
@400000005e8c2467072fc8ba #d,-,18,2745,2379,1195,187,1,213230,13220,2745,2380,1195,2745,2376,1164,98,100,0,501,2774;
@400000005e8c246907408d31 #d,-,18,2748,2378,1164,188,1,213251,13221,2748,2380,1195,2745,2378,1157,98,100,0,501,2799;
@400000005e8c2469074b4b63 #d,-,18,2747,2379,1164,188,1,213086,13211,2748,2380,1166,2747,2378,1163,99,100,0,501,2773;
@400000005e8c246b075b50ee #d,-,18,2746,2380,1165,189,1,213106,13212,2747,2380,1166,2746,2377,1163,99,100,0,501,2771;
@400000005e8c246b07666889 #d,-,18,2746,2380,1166,190,1,212943,13202,2746,2381,1166,2746,2378,1163,99,100,0,501,2773;
@400000005e8c246d07775152 #d,-,18,2745,2380,1194,191,1,212878,13198,2746,2380,1194,2745,2377,1164,99,100,0,501,2771;
@400000005e8c246d0781ec20 #d,-,18,2748,2379,1166,191,1,212901,13199,2748,2380,1196,2745,2376,1158,98,100,0,501,2801;
@400000005e8c246f0792d3fb #d,-,18,2747,2380,1163,192,1,212740,13189,2748,2380,1166,2747,2377,1163,99,100,0,501,2769;
@400000005e8c246f079d6756 #d,-,18,2746,2379,1165,193,1,212761,13191,2747,2380,1167,2746,2375,1163,99,100,0,501,2771;
@400000005e8c247107aa474a #d,-,18,2745,2379,1163,194,1,212603,13181,2746,2379,1166,2745,2377,1163,99,100,0,501,2771;
@400000005e8c247107b223e0 #d,-,18,2744,2378,1192,195,1,212537,13177,2745,2379,1192,2744,2374,1163,99,100,0,501,2769;
@400000005e8c247307c2efcb #d,-,18,3344,2378,1389,195,1,212751,13190,3344,2379,1688,2744,2374,1192,100,100,0,501,3344;
@400000005e8c247307ce0853 #d,-,18,3341,2377,1292,196,1,212799,13193,3344,2381,1395,3341,2377,1282,97,100,0,501,3413;
@400000005e8c247507df45dd #d,-,18,2976,2376,1651,197,1,212893,13199,3341,2381,1652,2976,2376,1186,98,100,0,501,3032;
@400000005e8c247507e9e553 #d,-,18,3614,2381,1350,198,1,213027,13207,3614,2381,1651,2976,2376,1350,100,100,0,501,3614;
@400000005e8c247707fa99f5 #d,-,18,3149,2382,1182,199,1,213017,13207,3614,2382,1350,3149,2377,1182,97,100,0,501,3214;
@400000005e8c24770805396c #d,-,18,3292,2379,1435,200,1,213214,13219,3292,2382,1674,3149,2377,1180,100,100,0,501,3292;
@400000005e8c24790816a1cd #d,-,18,3370,2377,1248,201,1,213255,13221,3370,2381,1435,3292,2377,1248,97,100,0,501,3463;
@400000005e8c24790821157d #d,-,18,2914,2378,1639,202,1,213337,13226,3370,2382,1643,2914,2376,1163,97,100,0,501,2979;
@400000005e8c247b08323091 #d,-,18,3624,2380,1328,203,1,213456,13234,3624,2380,1639,2914,2377,1328,100,100,0,501,3624;
@400000005e8c247b083d349d #d,-,18,3104,2379,1168,204,1,213437,13233,3624,2380,1328,3104,2376,1168,97,100,0,501,3171;
@400000005e8c247d084e7315 #d,-,18,3307,2378,1449,205,1,213634,13245,3307,2379,1667,3104,2375,1166,100,100,0,501,3307;
@400000005e8c247d08599e3e #d,-,18,3365,2376,1250,205,1,213670,13247,3365,2379,1449,3307,2375,1250,97,100,0,501,3459;
@400000005e8c247f086d329f #d,-,18,2904,2373,1628,206,1,213758,13253,3365,2379,1644,2904,2373,1165,97,100,0,501,2968;
@400000005e8c247f0879ad0e #d,-,18,3656,2375,1323,207,1,213868,13259,3656,2376,1628,2904,2372,1323,100,100,0,501,3656;
@400000005e8c2481088b8f70 #d,-,18,3090,2377,1169,208,1,213846,13258,3656,2378,1323,3090,2375,1168,97,100,0,501,3161;
@400000005e8c248108972c38 #d,-,18,3341,2375,1438,209,1,214047,13270,3341,2377,1670,3090,2374,1169,100,100,0,501,3341;
@400000005e8c248308a84393 #d,-,18,3342,2377,1242,210,1,214160,13277,3342,2379,1438,3341,2375,1242,97,100,0,501,3445;
@400000005e8c248308b300d6 #d,-,18,2904,2376,1612,211,1,214171,13278,3342,2379,1641,2904,2376,1166,98,100,0,501,2954;
@400000005e8c248508c45697 #d,-,18,3671,2380,1319,212,1,214271,13284,3671,2380,1612,2904,2376,1319,100,100,0,501,3671;
@400000005e8c248508cf3be7 #d,-,18,3072,2380,1157,213,1,214241,13282,3671,2381,1319,3072,2378,1157,97,100,0,501,3141;
@400000005e8c248708e0858c #d,-,18,2755,2380,1176,213,1,214173,13278,3072,2382,1179,2755,2379,1140,98,100,0,501,2797;
@400000005e8c248708eb85dd #d,-,18,2756,2380,1163,214,1,214107,13274,2756,2382,1192,2755,2379,1148,98,100,0,501,2801;
@400000005e8c248908fe4a8f #d,-,18,2753,2380,1175,215,1,214040,13270,2756,2382,1175,2753,2378,1161,99,100,0,501,2760;
@400000005e8c2489090a703f #d,-,18,2752,2381,1164,216,1,213974,13266,2753,2382,1176,2752,2379,1160,98,100,0,501,2780;
@400000005e8c248909139774 #d,-,18,2751,2380,1164,216,1,213908,13262,2752,2381,1169,2751,2376,1164,99,100,0,501,2773;
@400000005e8c248b0923fb0f #d,-,18,2751,2380,1167,217,1,213933,13263,2751,2380,1197,2751,2377,1164,99,100,0,501,2778;
@400000005e8c248b092ead26 #d,-,18,2753,2376,1167,218,1,213787,13254,2753,2380,1167,2751,2375,1159,98,100,0,501,2799;
@400000005e8c248d093f9d63 #d,-,18,2752,2378,1166,219,1,213722,13250,2753,2379,1168,2752,2376,1165,99,100,0,501,2773;
@400000005e8c248d094a285c #d,-,18,2750,2377,1166,219,1,213659,13246,2752,2380,1166,2750,2377,1165,99,100,0,501,2774;
@400000005e8c248f095aedc2 #d,-,18,2750,2378,1166,220,1,213595,13242,2750,2379,1167,2750,2375,1163,99,100,0,501,2774;
@400000005e8c248f096541c8 #d,-,18,2749,2377,1182,221,1,213540,13239,2750,2379,1196,2749,2376,1164,99,100,0,501,2773;
@400000005e8c249109761abc #d,-,18,2751,2378,1165,222,1,213476,13235,2751,2378,1182,2749,2373,1159,98,100,0,501,2799;
@400000005e8c249109809227 #d,-,18,2750,2377,1166,223,1,213414,13231,2751,2379,1167,2750,2376,1165,99,100,0,501,2774;
@400000005e8c2493099097b2 #d,-,18,2749,2376,1165,223,1,213352,13227,2750,2378,1168,2749,2374,1165,99,100,0,501,2773;
@400000005e8c2493099bab93 #d,-,18,2749,2378,1166,224,1,213291,13224,2749,2378,1167,2749,2376,1165,99,100,0,501,2774;
@400000005e8c249509aca343 #d,-,18,2748,2376,1196,225,1,213238,13220,2749,2379,1198,2748,2374,1165,99,100,0,501,2773;
@400000005e8c249509b76175 #d,-,18,2750,2379,1165,226,1,213255,13221,2750,2379,1196,2748,2376,1157,98,100,0,501,2801;
@400000005e8c249709c81abf #d,-,18,2749,2377,1166,226,1,213117,13213,2750,2380,1166,2749,2375,1163,99,100,0,501,2771;
@400000005e8c249709d2ec80 #d,-,18,2748,2379,1166,227,1,213133,13214,2749,2379,1167,2748,2376,1164,99,100,0,501,2773;
@400000005e8c249909e3f7bf #d,-,18,2747,2377,1163,228,1,212996,13205,2748,2380,1166,2747,2377,1163,99,100,0,501,2771;
@400000005e8c249909ee6b70 #d,-,18,2747,2378,1194,229,1,212942,13202,2747,2380,1195,2747,2375,1163,99,100,0,501,2769;
@400000005e8c249b09ff91b1 #d,-,18,2749,2380,1164,229,1,212885,13198,2749,2380,1195,2747,2378,1156,98,100,0,501,2797;
@400000005e8c249b0a0a1536 #d,-,18,2747,2381,1163,230,1,212826,13195,2749,2381,1165,2747,2378,1162,99,100,0,501,2767;
@400000005e8c249d0a133d5a #d,-,18,2746,2377,1666,231,1,212941,13202,2747,2381,1666,2746,2375,1162,99,100,0,501,2769;
@400000005e8c249d0a172d0b #d,-,18,3567,2378,1343,232,1,212983,13204,3567,2378,1674,2746,2375,1343,100,100,0,502,3567;
@400000005e8c249f0a21fecc #d,-,18,3161,2376,1266,233,1,212997,13205,3567,2378,1343,3161,2375,1250,98,100,0,501,3209;
@400000005e8c249f0a27af62 #d,-,18,3166,2374,1479,234,1,213220,13219,3166,2378,1655,3161,2373,1241,99,100,0,501,3178;
@400000005e8c24a10a386139 #d,-,18,3498,2376,1281,235,1,213203,13218,3498,2377,1479,3166,2374,1281,97,100,0,501,3582;
@400000005e8c24a10a43e211 #d,-,18,2968,2375,1643,235,1,213239,13220,3498,2377,1643,2968,2373,1172,97,100,0,501,3031;
@400000005e8c24a30a55eb90 #d,-,18,3537,2377,1366,236,1,213373,13229,3537,2377,1658,2968,2373,1366,100,100,0,501,3537;
@400000005e8c24a30a5df210 #d,-,18,3190,2378,1209,237,1,213370,13228,3537,2378,1366,3190,2374,1204,97,100,0,501,3258;
@400000005e8c24a50a6af29c #d,-,18,3186,2375,1477,238,1,213514,13237,3190,2378,1651,3186,2374,1199,100,100,0,501,3186;
@400000005e8c24a50a757621 #d,-,18,3484,2376,1270,239,1,213566,13241,3484,2377,1477,3186,2373,1270,97,100,0,501,3570;
@400000005e8c24a70a816c52 #d,-,18,2950,2374,1649,240,1,213679,13248,3484,2378,1649,2950,2373,1170,97,100,0,501,3015;
@400000005e8c24a70a8cf1d1 #d,-,18,3553,2375,1360,241,1,213731,13251,3553,2377,1654,2950,2372,1360,100,100,0,501,3553;
@400000005e8c24a90a9cb808 #d,-,18,3182,2376,1195,242,1,213797,13255,3553,2378,1360,3182,2374,1194,97,100,0,501,3249;
@400000005e8c24a90aa7763a #d,-,18,3183,2375,1463,243,1,213869,13259,3183,2378,1671,3182,2372,1193,100,100,0,501,3183;
@400000005e8c24ab0ab3fdb4 #d,-,18,3460,2377,1267,244,1,213918,13262,3460,2377,1463,3183,2374,1267,97,100,0,501,3554;
@400000005e8c24ab0abb7b4c #d,-,18,2943,2372,1653,244,1,213961,13265,3460,2378,1653,2943,2372,1171,97,100,0,501,3006;
@400000005e8c24ad0acbb056 #d,-,18,3570,2374,1353,246,1,214074,13272,3570,2376,1656,2943,2370,1353,100,100,0,501,3570;
@400000005e8c24ad0ad6467c #d,-,18,3165,2375,1190,246,1,214068,13272,3570,2377,1353,3165,2374,1190,98,100,0,501,3226;
@400000005e8c24af0ae769f2 #d,-,18,3162,2374,1486,247,1,214206,13280,3165,2376,1682,3162,2370,1179,100,100,0,501,3162;
@400000005e8c24af0af23351 #d,-,18,3493,2375,1287,248,1,214256,13283,3493,2376,1486,3162,2373,1287,97,100,0,501,3588;
@400000005e8c24b10b02c1c4 #d,-,18,2970,2376,1138,249,1,214209,13280,3493,2376,1287,2970,2372,1138,97,100,0,501,3031;
@400000005e8c24b10b0d454a #d,-,18,2707,2376,1185,250,1,214151,13277,2970,2377,1197,2707,2374,1137,98,100,0,501,2744;
@400000005e8c24b30b1d65d8 #d,-,18,2713,2375,1169,251,1,214091,13273,2713,2377,1185,2707,2372,1151,97,100,0,501,2787;
@400000005e8c24b30b289101 #d,-,18,2719,2376,1155,251,1,214038,13270,2719,2377,1194,2713,2374,1155,97,100,0,501,2783;
@400000005e8c24b50b3936bc #d,-,18,2721,2374,1164,252,1,213979,13266,2721,2377,1165,2719,2372,1155,97,100,0,501,2778;
@400000005e8c24b50b43ed7b #d,-,18,2723,2375,1162,253,1,213921,13263,2723,2377,1166,2721,2373,1162,98,100,0,501,2765;
@400000005e8c24b70b551fd7 #d,-,18,2724,2375,1161,254,1,213862,13259,2724,2377,1164,2723,2374,1161,98,100,0,501,2764;
@400000005e8c24b70b5f9388 #d,-,18,2725,2375,1162,254,1,213804,13255,2725,2377,1164,2724,2374,1161,98,100,0,501,2762;
@400000005e8c24b90b70b256 #d,-,18,2728,2377,1159,255,1,213822,13257,2728,2378,1194,2725,2374,1159,98,100,0,501,2771;
@400000005e8c24b90b7b224d #d,-,18,2730,2376,1161,256,1,213695,13249,2730,2378,1164,2728,2375,1156,98,100,0,501,2781;
@400000005e8c24bb0b8c5fd6 #d,-,18,2731,2376,1163,257,1,213638,13245,2731,2376,1164,2730,2373,1161,98,100,0,501,2764;
@400000005e8c24bb0b96ef78 #d,-,18,2731,2377,1162,257,1,213582,13242,2731,2377,1164,2731,2374,1161,98,100,0,501,2762;
@400000005e8c24bd0ba7274e #d,-,18,2731,2376,1162,258,1,213525,13238,2731,2377,1163,2731,2374,1161,98,100,0,501,2764;
@400000005e8c24bd0bb29585 #d,-,18,2732,2375,1168,259,1,213545,13239,2732,2378,1194,2731,2375,1162,98,100,0,501,2767;
@400000005e8c24bf0bc379a6 #d,-,18,2735,2376,1161,260,1,213420,13232,2735,2378,1168,2732,2375,1154,98,100,0,501,2787;
@400000005e8c24bf0bce37d8 #d,-,18,2734,2377,1162,260,1,213364,13228,2735,2378,1163,2734,2375,1161,98,100,0,501,2762;
@400000005e8c24c10bdf4317 #d,-,18,2734,2376,1160,261,1,213309,13225,2734,2378,1163,2734,2375,1160,98,100,0,501,2762;
@400000005e8c24c10be9c1f5 #d,-,18,2733,2377,1161,262,1,213253,13221,2734,2377,1164,2733,2372,1160,99,100,0,501,2760;
@400000005e8c24c30bfb4646 #d,-,18,2733,2375,1184,263,1,213205,13218,2733,2377,1193,2733,2374,1161,99,100,0,501,2760;
@400000005e8c24c30c05bae5 #d,-,18,2736,2374,1161,263,1,213150,13215,2736,2376,1184,2733,2372,1154,98,100,0,501,2787;
@400000005e8c24c50c16dd6d #d,-,18,2735,2373,1161,264,1,213095,13211,2736,2376,1163,2735,2373,1161,99,100,0,501,2760;
@400000005e8c24c50c214148 #d,-,18,2734,2374,1165,265,1,213108,13212,2735,2376,1165,2734,2370,1161,99,100,0,501,2760;
@400000005e8c24c70c3161d6 #d,-,18,2734,2372,1163,266,1,212988,13205,2734,2375,1165,2734,2371,1160,98,100,0,501,2762;
@400000005e8c24c70c3cb063 #d,-,18,2733,2371,1196,266,1,212942,13202,2734,2374,1197,2733,2369,1162,99,100,0,501,2760;
@400000005e8c24c90c4bf349 #d,-,18,2895,2370,1595,267,1,213044,13208,2895,2373,1676,2733,2367,1156,100,100,0,501,2895;
@400000005e8c24c90c56f39b #d,-,18,3588,2369,1320,268,1,213099,13212,3588,2372,1595,2895,2369,1320,98,100,0,501,3650;
@400000005e8c24cb0c68645d #d,-,18,3083,2371,1358,269,1,213160,13215,3588,2374,1358,3083,2368,1182,98,100,0,501,3136;
@400000005e8c24cb0c732a03 #d,-,18,3385,2372,1425,270,1,213248,13221,3385,2374,1660,3083,2370,1358,100,100,0,501,3385;
@400000005e8c24cd0c845044 #d,-,18,3310,2374,1265,271,1,213274,13222,3385,2375,1425,3310,2370,1265,97,100,0,501,3397;
@400000005e8c24cd0c8f0e76 #d,-,18,2958,2374,1598,272,1,213362,13228,3310,2376,1657,2958,2371,1164,99,100,0,501,2979;
@400000005e8c24cf0ca1b825 #d,-,18,3653,2375,1315,273,1,213433,13232,3653,2375,1598,2958,2371,1315,99,100,0,501,3686;
@400000005e8c24cf0cad1dfb #d,-,18,3060,2374,1442,274,1,213424,13232,3653,2376,1442,3060,2372,1160,97,100,0,501,3128;
@400000005e8c24d10cbdd38b #d,-,18,3385,2372,1415,275,1,213567,13241,3385,2374,1656,3060,2369,1415,100,100,0,501,3385;
@400000005e8c24d10cc833ad #d,-,18,3284,2374,1252,275,1,213586,13242,3385,2374,1415,3284,2371,1252,97,100,0,501,3369;
@400000005e8c24d30cd8b9be #d,-,18,2989,2374,1580,276,1,213679,13248,3284,2376,1655,2989,2371,1173,99,100,0,501,2993;
@400000005e8c24d30ce4084b #d,-,18,3618,2375,1307,277,1,213742,13252,3618,2376,1580,2989,2372,1307,98,100,0,501,3668;
@400000005e8c24d50cf394c4 #d,-,18,3042,2373,1546,278,1,213741,13251,3618,2377,1546,3042,2373,1159,97,100,0,501,3109;
@400000005e8c24d50cfe89e9 #d,-,18,3423,2375,1396,279,1,213873,13260,3423,2376,1656,3042,2372,1396,100,100,0,501,3423;
@400000005e8c24d70d0f3ad1 #d,-,18,3265,2375,1230,280,1,213951,13264,3423,2375,1396,3265,2372,1230,97,100,0,501,3342;
@400000005e8c24d70d1a0165 #d,-,18,3024,2372,1552,281,1,213988,13267,3265,2375,1661,3024,2371,1191,100,100,0,501,3024;
@400000005e8c24d90d274b84 #d,-,18,3593,2374,1309,282,1,214045,13270,3593,2375,1552,3024,2372,1309,98,100,0,501,3657;
@400000005e8c24d90d2e7f89 #d,-,18,3027,2373,1574,283,1,214048,13271,3593,2375,1574,3027,2371,1161,97,100,0,501,3093;
@400000005e8c24db0d3e7186 #d,-,18,3453,2372,1400,284,1,214175,13278,3453,2374,1661,3027,2371,1400,100,100,0,501,3453;
@400000005e8c24db0d490038 #d,-,18,3257,2374,1218,284,1,214188,13279,3453,2374,1400,3257,2371,1218,97,100,0,501,3328;
@400000005e8c24dd0d59ecbc #d,-,18,2860,2373,1144,285,1,214197,13280,3257,2375,1218,2860,2370,1137,97,100,0,501,2922;
@400000005e8c24dd0d649670 #d,-,18,2623,2376,1148,286,1,214064,13272,2860,2376,1164,2623,2373,1066,98,100,0,501,2669;
@400000005e8c24df0d75b53e #d,-,18,2704,2372,1208,287,1,214012,13268,2704,2376,1208,2623,2372,1140,99,100,0,501,2724;
@400000005e8c24df0d803151 #d,-,18,2777,2374,1162,287,1,213963,13265,2777,2377,1211,2704,2372,1153,98,100,0,501,2806;
@400000005e8c24e10d90ceaa #d,-,18,2771,2375,1166,288,1,213914,13262,2777,2376,1170,2771,2374,1162,100,100,0,501,2771;
@400000005e8c24e10d9c05ef #d,-,18,2771,2375,1162,289,1,213870,13259,2771,2376,1200,2771,2371,1160,99,100,0,501,2796;
@400000005e8c24e30dacf62c #d,-,18,2768,2374,1167,290,1,213822,13256,2771,2376,1170,2768,2373,1162,99,100,0,501,2780;
@400000005e8c24e30db7cba6 #d,-,18,2765,2373,1167,291,1,213773,13253,2768,2375,1169,2765,2371,1166,99,100,0,501,2774;
@400000005e8c24e50dc90576 #d,-,18,2762,2374,1166,291,1,213725,13250,2765,2376,1169,2762,2373,1166,99,100,0,501,2773;
@400000005e8c24e50dd38189 #d,-,18,2760,2376,1166,292,1,213736,13251,2762,2376,1170,2760,2370,1166,99,100,0,501,2774;
@400000005e8c24e70de4c2cc #d,-,18,2760,2376,1159,293,1,213633,13245,2760,2376,1198,2760,2374,1159,99,100,0,501,2783;
@400000005e8c24e70def4afa #d,-,18,2758,2374,1169,294,1,213586,13242,2760,2376,1169,2758,2371,1159,98,100,0,501,2787;
@400000005e8c24e90e0074f4 #d,-,18,2756,2375,1166,294,1,213538,13239,2758,2375,1169,2756,2373,1166,99,100,0,501,2773;
@400000005e8c24e90e0ad8d0 #d,-,18,2754,2371,1168,295,1,213490,13236,2756,2376,1168,2754,2371,1166,99,100,0,501,2771;
@400000005e8c24eb0e1c271d #d,-,18,2753,2372,1166,296,1,213444,13233,2754,2375,1170,2753,2371,1166,99,100,0,501,2773;
@400000005e8c24eb0e269ace #d,-,18,2753,2373,1165,297,1,213403,13230,2753,2375,1198,2753,2372,1165,99,100,0,501,2776;
@400000005e8c24ed0e36bf15 #d,-,18,2753,2374,1167,297,1,213414,13231,2753,2375,1170,2753,2371,1159,98,100,0,501,2792;
@400000005e8c24ed0e420da2 #d,-,18,2752,2375,1166,298,1,213308,13225,2753,2376,1167,2752,2373,1165,99,100,0,501,2771;
@400000005e8c24ef0e535835 #d,-,18,2750,2376,1165,299,1,213261,13222,2752,2376,1167,2750,2373,1165,99,100,0,501,2771;
@400000005e8c24ef0e5e0692 #d,-,18,2749,2376,1166,300,1,213215,13219,2750,2376,1167,2749,2374,1165,99,100,0,501,2769;
@400000005e8c24f10e6f6ef3 #d,-,18,2748,2375,1178,300,1,213175,13216,2749,2376,1196,2748,2374,1165,99,100,0,501,2771;
@400000005e8c24f10e7a09c1 #d,-,18,2750,2374,1165,301,1,213129,13214,2750,2377,1178,2748,2374,1159,98,100,0,501,2796;
@400000005e8c24f30e8b92bb #d,-,18,2748,2375,1164,302,1,213083,13211,2750,2377,1166,2748,2374,1163,99,100,0,501,2769;
@400000005e8c24f30e97905f #d,-,18,2747,2376,1166,303,1,213037,13208,2748,2377,1166,2747,2374,1163,99,100,0,501,2769;
@400000005e8c24f50ea8e61f #d,-,18,3298,2375,1392,304,1,213167,13216,3298,2376,1673,2747,2372,1166,100,100,0,501,3298;
@400000005e8c24f50eb38d09 #d,-,18,3299,2375,1312,304,1,213201,13218,3299,2376,1398,3298,2373,1312,96,100,0,501,3404;
@400000005e8c24f70ec3bd6b #d,-,18,2986,2373,1663,305,1,213261,13222,3299,2376,1665,2986,2371,1195,98,100,0,501,3041;
@400000005e8c24f70ece92e6 #d,-,18,3633,2374,1345,306,1,213345,13227,3633,2375,1663,2986,2372,1345,100,100,0,501,3633;
@400000005e8c24f90edf2513 #d,-,18,3131,2376,1164,307,1,213390,13230,3633,2376,1345,3131,2372,1164,97,100,0,501,3200;
@400000005e8c24f90eea7b13 #d,-,18,3260,2373,1444,308,1,213457,13234,3260,2376,1658,3131,2371,1159,100,100,0,501,3260;
@400000005e8c24fb0ef93069 #d,-,18,3387,2372,1279,309,1,213489,13236,3387,2375,1444,3260,2370,1279,97,100,0,501,3479;
@400000005e8c24fb0f0415b9 #d,-,18,2922,2373,1650,310,1,213547,13239,3387,2376,1656,2922,2371,1154,97,100,0,501,2990;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
