@400000005e8ad25514bb6ec7 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e8ad256030d5337 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad304105987ef #d,-,18,2779,2354,1216,135,0,204028,12649,2780,2356,1216,2779,2351,1185,99,100,0,499,2805;
@400000005e8ad3041063e457 #d,-,18,2781,2354,1185,136,0,203998,12647,2781,2356,1216,2779,2352,1179,98,100,0,499,2833;
@400000005e8ad3061073b2f0 #d,-,18,2780,2355,1184,137,0,203968,12646,2781,2357,1187,2780,2352,1184,99,100,0,499,2801;
@400000005e8ad306107e84b1 #d,-,18,2779,2357,1183,137,0,203937,12644,2780,2358,1186,2779,2353,1183,99,100,0,499,2803;
@400000005e8ad3081086c5dc #d,-,18,2778,2357,1185,138,0,203908,12642,2779,2357,1188,2778,2352,1183,99,100,0,499,2803;
@400000005e8ad308108a8343 #d,-,18,3218,2354,1535,139,0,204269,12664,3218,2357,1707,2778,2349,1184,100,100,0,499,3218;
@400000005e8ad30a109210b0 #d,-,18,3379,2355,1222,140,0,204295,12666,3379,2355,1535,3218,2351,1219,96,100,0,499,3509;
@400000005e8ad30a109c70d1 #d,-,18,2899,2355,1244,141,0,204320,12667,3379,2356,1251,2899,2350,1222,98,100,0,499,2929;
@400000005e8ad30c10aa38ab #d,-,18,2901,2355,1163,142,0,204435,12675,2901,2357,1256,2899,2355,1163,98,100,0,499,2949;
@400000005e8ad30c10b4d379 #d,-,18,2764,2353,1164,142,0,204277,12665,2901,2357,1181,2764,2353,1162,98,100,0,499,2812;
@400000005e8ad30e10c93966 #d,-,18,2759,2354,1190,143,0,204235,12662,2764,2356,1190,2759,2353,1164,100,100,0,499,2759;
@400000005e8ad30e10d6882d #d,-,18,2759,2356,1154,144,0,204187,12659,2759,2356,1198,2759,2352,1149,98,100,0,499,2792;
@400000005e8ad31010e3e995 #d,-,18,2827,2352,1647,145,0,204414,12673,2827,2356,1680,2759,2351,1154,100,100,0,499,2827;
@400000005e8ad31010ea2f2e #d,-,18,3565,2353,1207,146,0,204476,12677,3565,2357,1647,2827,2352,1162,96,100,0,499,3684;
@400000005e8ad31210f241c9 #d,-,18,2791,2356,1196,146,0,204455,12676,3565,2356,1207,2791,2352,1194,99,100,0,499,2819;
@400000005e8ad31210fb94c4 #d,-,18,2791,2356,1169,147,0,204425,12674,2791,2356,1196,2791,2354,1169,98,100,0,499,2828;
@400000005e8ad314110bb198 #d,-,18,2786,2356,1156,148,0,204375,12671,2791,2357,1183,2786,2354,1150,99,100,0,499,2790;
@400000005e8ad3141116a215 #d,-,18,2696,2353,1155,149,0,204426,12674,2786,2356,1158,2696,2352,1154,98,100,0,499,2730;
@400000005e8ad316111f8370 #d,-,18,2696,2355,1154,149,0,204262,12664,2696,2357,1158,2696,2352,1154,98,100,0,499,2735;
@400000005e8ad31611233d1d #d,-,18,2700,2353,1665,150,0,204442,12675,2700,2357,1684,2696,2352,1154,98,100,0,499,2737;
@400000005e8ad318112df6a7 #d,-,18,3678,2356,1208,151,0,204538,12681,3678,2357,1665,2700,2352,1164,98,100,0,499,3744;
@400000005e8ad31811387673 #d,-,18,2812,2355,1194,152,0,204529,12680,3678,2358,1231,2812,2354,1191,98,100,0,499,2853;
@400000005e8ad31a114130b1 #d,-,18,2809,2355,1155,153,0,204499,12678,2812,2358,1198,2809,2354,1155,99,100,0,499,2831;
@400000005e8ad31a11478266 #d,-,18,2719,2356,1156,153,0,204442,12675,2809,2358,1156,2719,2354,1147,98,100,0,499,2760;
@400000005e8ad31c115abb82 #d,-,18,2716,2355,1156,154,0,204387,12672,2719,2358,1157,2716,2354,1153,99,100,0,499,2733;
@400000005e8ad31c1167daca #d,-,18,2714,2359,1154,155,0,204333,12668,2716,2359,1157,2714,2355,1154,99,100,0,499,2733;
@400000005e8ad31e11762329 #d,-,18,2716,2357,1673,156,0,204586,12684,2716,2361,1678,2714,2356,1154,98,100,0,499,2760;
@400000005e8ad31e117ca729 #d,-,18,3693,2358,1203,157,0,204602,12685,3693,2360,1673,2716,2356,1164,99,100,0,499,3716;
@400000005e8ad320118bf53c #d,-,18,2779,2359,1195,158,0,204584,12684,3693,2361,1206,2779,2358,1193,97,100,0,499,2844;
@400000005e8ad32011969fdf #d,-,18,2781,2359,1174,158,0,204561,12682,2781,2361,1196,2779,2358,1174,98,100,0,499,2831;
@400000005e8ad322119f7166 #d,-,18,2775,2359,1155,159,0,204506,12679,2781,2362,1174,2775,2358,1146,100,100,0,499,2775;
@400000005e8ad32211a69df7 #d,-,18,2769,2360,1147,160,0,204462,12676,2775,2360,1187,2769,2359,1146,100,100,0,499,2769;
@400000005e8ad32411afa671 #d,-,18,2702,2359,1155,161,0,204410,12673,2769,2361,1156,2702,2359,1147,98,100,0,499,2742;
@400000005e8ad32411b362e8 #d,-,18,2701,2356,1677,161,1,204509,12679,2702,2361,1677,2701,2356,1151,98,100,0,499,2733;
@400000005e8ad32611bf6534 #d,-,18,3671,2357,1181,162,1,204655,12688,3671,2359,1677,2701,2356,1162,100,100,0,499,3671;
@400000005e8ad32611c77415 #d,-,18,2795,2357,1197,163,1,204638,12687,3671,2359,1205,2795,2356,1181,96,100,0,499,2894;
@400000005e8ad32811d769cc #d,-,18,2797,2356,1172,164,1,204627,12686,2797,2359,1228,2795,2355,1172,98,100,0,499,2846;
@400000005e8ad32811e2568f #d,-,18,2746,2354,1157,165,1,204671,12689,2797,2359,1172,2746,2354,1146,98,100,0,499,2794;
@400000005e8ad32a11f11800 #d,-,18,2740,2356,1156,165,1,204523,12680,2746,2358,1159,2740,2354,1154,99,100,0,499,2741;
@400000005e8ad32a11fc1c0c #d,-,18,2736,2359,1157,166,1,204471,12677,2740,2359,1157,2736,2356,1154,100,100,0,499,2736;
@400000005e8ad32c120718a4 #d,-,18,2732,2356,1671,167,1,204540,12681,2736,2359,1671,2732,2356,1154,99,100,0,499,2739;
@400000005e8ad32c120d7586 #d,-,18,3648,2356,1180,168,1,204816,12698,3648,2359,1680,2732,2353,1176,100,100,0,499,3648;
@400000005e8ad32e121c98c2 #d,-,18,2847,2358,1198,169,1,204704,12691,3648,2360,1204,2847,2355,1180,95,100,0,499,2974;
@400000005e8ad32e12278585 #d,-,18,2841,2359,1187,170,1,204685,12690,2847,2361,1198,2841,2358,1187,100,100,0,499,2841;
@400000005e8ad3301236fab5 #d,-,18,2749,2360,1156,170,1,204636,12687,2841,2361,1187,2749,2359,1146,98,100,0,499,2792;
@400000005e8ad3301241b086 #d,-,18,2743,2361,1157,171,1,204586,12684,2749,2361,1157,2743,2359,1153,100,100,0,499,2743;
@400000005e8ad332124c2c98 #d,-,18,2739,2360,1160,172,1,204640,12687,2743,2361,1185,2739,2359,1154,100,100,0,499,2739;
@400000005e8ad3321251bab9 #d,-,18,2737,2358,1609,173,1,204560,12682,2739,2361,1609,2737,2358,1148,99,100,0,499,2760;
@400000005e8ad33412598a46 #d,-,18,3517,2359,1167,174,1,204773,12695,3517,2360,1679,2737,2356,1167,100,100,0,499,3517;
@400000005e8ad334125fa8c2 #d,-,18,2941,2358,1195,174,1,204758,12695,3517,2361,1208,2941,2358,1166,95,100,0,499,3075;
@400000005e8ad336126f291f #d,-,18,2803,2357,1194,175,1,204740,12693,2941,2360,1196,2803,2357,1194,98,100,0,499,2837;
@400000005e8ad33612797e14 #d,-,18,2797,2359,1172,176,1,204704,12691,2803,2360,1194,2797,2357,1151,99,100,0,499,2801;
@400000005e8ad33812823852 #d,-,18,2726,2359,1156,177,1,204654,12688,2797,2360,1172,2726,2355,1145,98,100,0,499,2760;
@400000005e8ad338128b2d3d #d,-,18,2723,2357,1155,177,1,204605,12685,2726,2359,1157,2723,2354,1153,99,100,0,499,2739;
@400000005e8ad33a129431fd #d,-,18,2720,2356,1494,178,1,204586,12684,2723,2358,1494,2720,2356,1155,99,100,0,499,2737;
@400000005e8ad33a129a7796 #d,-,18,3411,2354,1205,179,1,204915,12704,3411,2356,1680,2720,2353,1205,100,100,0,499,3411;
@400000005e8ad33c12a9e0ab #d,-,18,3033,2355,1230,180,1,204817,12698,3411,2357,1239,3033,2353,1166,95,100,0,499,3166;
@400000005e8ad33c12b44487 #d,-,18,2841,2356,1200,181,1,204800,12697,3033,2358,1230,2841,2354,1191,98,100,0,499,2876;
@400000005e8ad33e12bce77c #d,-,18,2780,2355,1161,181,1,204761,12695,2841,2357,1200,2780,2355,1152,98,100,0,499,2821;
@400000005e8ad33e12c6c35f #d,-,18,2707,2352,1160,182,1,204715,12692,2780,2358,1162,2707,2352,1156,98,100,0,499,2741;
@400000005e8ad34012cf912c #d,-,18,2707,2356,1158,183,1,204670,12689,2707,2357,1161,2707,2352,1157,98,100,0,499,2742;
@400000005e8ad34012d4e85a #d,-,18,2707,2358,1189,184,1,204633,12687,2707,2359,1190,2707,2356,1156,98,100,0,499,2741;
@400000005e8ad34212e4da57 #d,-,18,2711,2359,1213,184,1,204605,12685,2711,2359,1215,2707,2357,1152,97,100,0,499,2773;
@400000005e8ad34212efcad4 #d,-,18,2779,2358,1199,185,1,204667,12689,2779,2359,1213,2711,2357,1164,98,100,0,499,2810;
@400000005e8ad34412f9ca1a #d,-,18,2779,2357,1194,186,1,204556,12682,2779,2359,1199,2779,2356,1179,98,100,0,499,2813;
@400000005e8ad34412ff3c4a #d,-,18,2830,2356,1206,187,1,204555,12682,2830,2358,1231,2779,2356,1194,99,100,0,499,2851;
@400000005e8ad346130e2893 #d,-,18,2829,2357,1261,188,1,204562,12682,2830,2358,1261,2829,2355,1206,98,100,0,499,2863;
@400000005e8ad3461318c71b #d,-,18,2901,2358,1188,188,1,204643,12687,2901,2358,1261,2829,2355,1186,98,100,0,499,2931;
@400000005e8ad3481328c8ed #d,-,18,2792,2357,1195,189,1,204540,12681,2901,2359,1196,2792,2356,1188,98,100,0,499,2829;
@400000005e8ad348133353e6 #d,-,18,2791,2354,1178,190,1,204516,12680,2792,2359,1195,2791,2354,1176,98,100,0,499,2824;
@400000005e8ad34a1340e4cd #d,-,18,2787,2358,1192,191,1,204492,12678,2791,2358,1195,2787,2354,1178,99,100,0,499,2792;
@400000005e8ad34a134bf8ad #d,-,18,2786,2357,1207,191,1,204554,12682,2787,2358,1207,2786,2355,1180,99,100,0,499,2806;
@400000005e8ad34c1359b825 #d,-,18,2787,2358,1183,192,1,204449,12675,2787,2358,1213,2786,2353,1178,98,100,0,499,2828;
@400000005e8ad34c1364df95 #d,-,18,2784,2356,1180,193,1,204425,12674,2787,2358,1184,2784,2354,1180,99,100,0,499,2797;
@400000005e8ad34e13753f77 #d,-,18,2782,2357,1182,194,1,204400,12672,2784,2357,1186,2782,2355,1179,99,100,0,499,2796;
@400000005e8ad34e137faf6e #d,-,18,2780,2356,1182,195,1,204375,12671,2782,2358,1185,2780,2354,1179,99,100,0,499,2799;
@400000005e8ad350138b770d #d,-,18,2778,2356,1202,195,1,204436,12675,2780,2358,1202,2778,2353,1180,99,100,0,499,2797;
@400000005e8ad35013919589 #d,-,18,2781,2354,1183,196,1,204334,12668,2781,2358,1214,2778,2354,1175,98,100,0,499,2831;
@400000005e8ad35213a07d2a #d,-,18,2778,2357,1182,197,1,204311,12667,2781,2358,1185,2778,2354,1181,99,100,0,499,2794;
@400000005e8ad35213aacaab #d,-,18,2777,2358,1181,198,1,204368,12670,2778,2358,1183,2777,2356,1180,99,100,0,499,2799;
@400000005e8ad35413b69604 #d,-,18,2775,2356,1181,198,1,204264,12664,2777,2358,1184,2775,2356,1180,99,100,0,499,2799;
@400000005e8ad35413c19656 #d,-,18,2774,2358,1191,199,1,204241,12662,2775,2358,1191,2774,2355,1180,99,100,0,499,2799;
@400000005e8ad35613d9928c #d,-,18,2778,2357,1181,200,1,204224,12661,2778,2359,1214,2774,2356,1173,98,100,0,499,2829;
@400000005e8ad35613e5180b #d,-,18,2775,2357,1181,201,1,204281,12665,2778,2358,1183,2775,2355,1179,99,100,0,499,2794;
@400000005e8ad35813eca1bf #d,-,18,2774,2355,1701,201,1,204300,12666,2775,2358,1701,2774,2355,1180,99,100,0,499,2796;
@400000005e8ad35813f09170 #d,-,18,3723,2355,1249,202,1,204441,12675,3723,2357,1701,2774,2353,1230,100,100,0,499,3723;
@400000005e8ad35a13f91963 #d,-,18,2914,2356,1232,203,1,204456,12676,3723,2356,1258,2914,2354,1230,97,100,0,499,3002;
@400000005e8ad35a14038d14 #d,-,18,2914,2352,1225,204,1,204471,12677,2914,2356,1261,2914,2351,1220,99,100,0,499,2942;
@400000005e8ad35c1412eeb6 #d,-,18,2844,2353,1155,205,1,204450,12675,2914,2355,1226,2844,2352,1155,98,100,0,499,2886;
@400000005e8ad35c141df2c1 #d,-,18,2723,2355,1159,206,1,204491,12678,2844,2356,1167,2723,2351,1155,98,100,0,499,2764;
@400000005e8ad35e143153e9 #d,-,18,2721,2357,1158,206,1,204374,12671,2723,2357,1161,2721,2354,1158,99,100,0,499,2746;
@400000005e8ad35e143e0192 #d,-,18,2720,2355,1175,207,1,204336,12668,2721,2358,1175,2720,2353,1151,99,100,0,499,2744;
@400000005e8ad360144bdcfa #d,-,18,3346,2353,1279,208,1,204571,12683,3346,2355,1707,2720,2349,1175,100,100,0,499,3346;
@400000005e8ad36014527488 #d,-,18,3099,2354,1192,209,1,204550,12682,3346,2356,1279,3099,2353,1163,95,100,0,499,3241;
@400000005e8ad3621461b680 #d,-,18,2792,2355,1192,210,1,204533,12681,3099,2356,1195,2792,2352,1192,98,100,0,499,2829;
@400000005e8ad362146caab6 #d,-,18,2789,2355,1152,210,1,204497,12678,2792,2356,1193,2789,2352,1147,99,100,0,499,2812;
@400000005e8ad3641475ea22 #d,-,18,2689,2356,1152,211,1,204456,12676,2789,2356,1156,2689,2352,1152,98,100,0,499,2726;
@400000005e8ad36414806635 #d,-,18,2692,2357,1144,212,1,204497,12678,2692,2357,1186,2689,2354,1143,98,100,0,499,2746;
@400000005e8ad36614896eae #d,-,18,2693,2354,1153,213,1,204380,12671,2693,2357,1155,2692,2354,1144,98,100,0,499,2739;
@400000005e8ad366148f9857 #d,-,18,3212,2354,1439,214,1,204602,12685,3212,2355,1680,2693,2351,1153,100,100,0,499,3212;
@400000005e8ad368149e6d58 #d,-,18,3209,2357,1193,214,1,204580,12684,3212,2357,1439,3209,2354,1163,96,100,0,499,3333;
@400000005e8ad36814a936b7 #d,-,18,2798,2356,1191,215,1,204564,12683,3209,2358,1195,2798,2354,1191,98,100,0,499,2831;
@400000005e8ad36a14b2c817 #d,-,18,2797,2357,1145,216,1,204538,12681,2798,2358,1199,2797,2355,1145,98,100,0,499,2826;
@400000005e8ad36a14bd3f82 #d,-,18,2704,2357,1153,217,1,204497,12678,2797,2358,1153,2704,2356,1145,98,100,0,499,2746;
@400000005e8ad36c14d1e10a #d,-,18,2703,2356,1153,217,1,204456,12676,2704,2359,1154,2703,2356,1152,99,100,0,499,2730;
@400000005e8ad36c14df857f #d,-,18,2702,2358,1154,218,1,204490,12678,2703,2358,1154,2702,2355,1152,98,100,0,499,2730;
@400000005e8ad36e14f02b3b #d,-,18,3125,2353,1532,219,1,204624,12686,3125,2358,1681,2702,2352,1154,100,100,0,499,3125;
@400000005e8ad36e14f94743 #d,-,18,3284,2353,1201,220,1,204618,12686,3284,2356,1532,3125,2353,1163,95,100,0,499,3422;
@400000005e8ad3701508fad9 #d,-,18,2829,2354,1193,221,1,204604,12685,3284,2356,1201,2829,2353,1193,98,100,0,499,2863;
@400000005e8ad3701513b0aa #d,-,18,2824,2356,1153,221,1,204649,12688,2829,2357,1196,2824,2354,1151,99,100,0,499,2826;
@400000005e8ad372152331f6 #d,-,18,2708,2355,1155,222,1,204539,12681,2824,2357,1162,2708,2352,1153,98,100,0,499,2746;
@400000005e8ad372152dd7f1 #d,-,18,2707,2356,1156,223,1,204501,12679,2708,2356,1158,2707,2353,1155,98,100,0,499,2737;
@400000005e8ad3741536d53d #d,-,18,2707,2355,1165,224,1,204471,12677,2707,2356,1189,2707,2352,1154,98,100,0,499,2737;
@400000005e8ad374153ce79e #d,-,18,3003,2355,1631,225,1,204722,12692,3003,2355,1682,2707,2351,1148,100,100,0,499,3003;
@400000005e8ad376154a032c #d,-,18,3415,2355,1203,226,1,204657,12688,3415,2356,1631,3003,2353,1164,96,100,0,499,3556;
@400000005e8ad37615524458 #d,-,18,2806,2355,1197,226,1,204643,12687,3415,2357,1203,2806,2355,1194,99,100,0,499,2829;
@400000005e8ad3781562698d #d,-,18,2804,2355,1159,227,1,204690,12690,2806,2357,1198,2804,2355,1158,99,100,0,499,2829;
@400000005e8ad378156d26d1 #d,-,18,2720,2357,1176,228,1,204591,12684,2804,2358,1186,2720,2355,1159,98,100,0,499,2758;
@400000005e8ad37a1581668f #d,-,18,2721,2356,1155,229,1,204552,12682,2721,2358,1176,2720,2356,1149,98,100,0,499,2762;
@400000005e8ad37a158eb910 #d,-,18,2719,2358,1163,229,1,204518,12680,2721,2358,1164,2719,2356,1154,99,100,0,499,2741;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
